11659,Tails of the Pet Avengers: The Dogs of Summer (2010),2010,2010,
16290,Takio (2012 - Present),2012,2099,
3676,Tales from the Age of Apocalypse: Sinster Bloodlines (1997),1997,1997,
3675,Tales from the Age of Apocalyspse: By the Light (1996 - 1997),1996,1997,
2079,Tales of Suspense (1959 - 1968),1959,1968,
2080,Tales to Astonish (1959 - 1968),1959,1968,
12839,Taskmaster (2010),2010,2010,
19009,Thanos Annual (2014 - Present),2014,2099,
2081,Thanos Quest (1990),1990,1990,
17661,Thanos Rising (2013 - Present),2013,2099,Rated T+
3308,Thanos Vol. 3: Marvel Universe - The End (2003),2003,2003,
19734,Thanos Vs. Hulk (2014 - Present),2014,2099,Rated T+
13608,The 'Nam (1986 - 1993),1986,1993,
5745,The Age of the Sentry (2008 - 2009),2008,2009,RATED A
21407,The Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016 - Present),2016,2099,Rated T+
18503,The Amazing Spider-Man: The Movie Adaptation (2014 - Present),2014,2099,Rated T+
20437,The Astonishing Ant-Man (2015 - Present),2015,2099,Rated T+
8849,The Black Knight (2009),2009,2009,
3673,The Buzz (2000),2000,2000,
20545,THE CAVALRY: S.H.I.E.L.D. 50TH ANNIVERSARY (2015 - Present),2015,2099,
14637,The Contest (1982),1982,1982,
14638,The Contest II (1999),1999,1999,
17662,The Emerald City of Oz (2013 - Present),2013,2099,All Ages
20357,The Infinity Entity (2016 - Present),2016,2099,Rated T+
12877,The Iron Age (2010 - 2011),2010,2011,
12392,The Iron Age: Omega (2010 - 2011),2010,2011,
6674,The Last Avengers Story (1995),1995,1995,
2598,The Last Fantastic Four Story (2007),2007,2007,RATED A
1938,The Loners (2007 - 2008),2007,2008,T
8476,The Many Loves of the Amazing Spider-Man (2010),2010,2010,
6479,"The Marvels Channel: Monsters, Myths, and Marvels (2008)",2008,2008,
8395,The Marvels Project (2009 - 2010),2009,2010,
13757,The Mighty Thor (2011 - 2012),2011,2012,T+
15239,The Mighty Thor Annual (2012),2012,2012,
14076,The Mighty Thor Saga (2011),2011,2011,
16368,The Mutant Misadventures of Cloak and Dagger (1988 - 1990),1988,1990,
