8821,S.H.I.E.L.D. (2010 - 2011),2010,2011,
19639,S.H.I.E.L.D. (2014 - Present),2014,2099,Rated T+
13744,S.H.I.E.L.D. (2011),2011,2011,
18543,S.H.I.E.L.D. Origins (2013 - Present),2013,2099,
8233,S.W.O.R.D. (2009 - 2010),2009,2010,
18803,Savage Hulk (2014 - Present),2014,2099,Rated T
17539,Savage Wolverine (2013 - Present),2013,2099,Parental Advisory
12212,Scarlet (2010 - Present),2010,2099,
15298,Scarlet Spider (2011 - 2012),2011,2012,
17124,Scarlet Spider (2012 - 2013),2012,2013,Rated T+
18889,Scarlet Spiders (2014 - Present),2014,2099,Rated T+
20854,Scarlet Witch (2015 - Present),2015,2099,Rated T+
17547,Secret Avengers (2013 - 2014),2013,2014,Rated T+
9799,Secret Avengers (2010 - 2012),2010,2012,T+
18818,Secret Avengers (2014 - Present),2014,2099,Rated T+
4423,Secret Invasion (2008),2008,2008,Rated T
7216,Secret Invasion Aftermath: Beta Ray Bill - The Green of Eden (2009 - 2010),2009,2010,NOT IN ORACLE
6391,Secret Invasion: Dark Reign (2008),2008,2008,Rated T+
5213,Secret Invasion: Front Line (2008 - 2009),2008,2009,Rated T+
5352,Secret Invasion: Inhumans (2008 - 2009),2008,2009,Rated T+
8249,Secret Invasion: Requiem (2008),2008,2008,
5046,Secret Invasion: Runaways/Young Avengers (2008),2008,2008,Rated T+
5362,Secret Invasion: Spider-Man - Brand New Day (2008),2008,2008,Rated a
5370,Secret Invasion: Thor (2008 - 2009),2008,2009,Rated T+
6595,Secret Invasion: War of Kings One-Shot (2009),2009,2009,Rated T+
5050,Secret Invasion: Who Do You Trust? (2008),2008,2008,Rated T+
5364,Secret Invasion: X-Men (2008),2008,2008,Rated T+
16288,Secret Service (2012 - Present),2012,2099,
418,Secret War (2004 - 2005),2004,2005,Marvel Psr
6796,Secret Warriors (2008 - 2011),2008,2011,T
7076,Secret Warriors Special: Who's Your Daddy? (2009),2009,2009,
19648,Secret Wars (2015 - Present),2015,2099,Rated T+
2063,Secret Wars (1984 - 1985),1984,1985,
19649,Secret Wars 2099 (2015 - Present),2015,2099,Rated T
20605,Secret Wars Journal (2015),2015,2015,T+
21326,"Secret Wars, Too (2015)",2015,2015,
20550,Secret Wars: Agents of Atlas (2015 - Present),2015,2099,
19659,Secret Wars: Battleworld (2015 - Present),2015,2099,Rated T+
19657,Secret Wars: Secret Love (2015 - Present),2015,2099,
722,Sensational Spider-Man (2006 - 2007),2006,2007,T
2203,Sensational Spider-Man Annual (2007),2007,2007,A
2066,Sentry (2000 - 2001),2000,2001,
9723,Sentry: Fallen Sun (2010),2010,2010,
6065,Sentry: Fantastic Four (2001),2001,2001,
6066,Sentry: Hulk (2001),2001,2001,
6067,Sentry: Spider-Man (2001),2001,2001,
6068,Sentry: The Void (2001),2001,2001,
6069,Sentry: X-Men (2001),2001,2001,
20107,Sergio Aragonés Stomps Star Wars (2000),2000,2000,
2067,Sgt. Fury and His Howling Commandos (1963 - 1974),1963,1974,
6683,Sgt. Fury Annual (1965 - 1971),1965,1971,
9934,Shadowland (2010),2010,2010,
13252,Shadowland:After the Fall (2010),2010,2010,
15295,Shame Itself (2011),2011,2011,
9041,Shang-Chi: Master of Kung Fu (2009),2009,2009,
3693,"Shanna, the She-Devil (1972 - 1973)",1972,1973,
2643,"Shanna, the She-Devil: Survival of the Fittest (2007)",2007,2007,Parental Advisory
13209,Sharon Carter & Black Widow (2010 - 2011),2010,2011,
18472,She-Hulk (2014 - Present),2014,2099,Rated T+
886,She-Hulk (2005 - 2009),2005,2009,A
9360,She-Hulk Sensational (2010),2010,2010,
6355,She-Hulk: Cosmic Collision (2008),2008,2008,RATED T+
11799,She-Hulks (2010 - 2011),2010,2011,
19608,Siege (2015 - Present),2015,2099,Rated T+
9178,Siege (2009),2009,2009,Rated T
9749,Siege: Captain America (2010),2010,2010,
9184,Siege: Embedded (2010),2010,2010,
9753,Siege: Loki (2010),2010,2010,
9757,Siege: Secret Warriors (2010),2010,2010,
9761,Siege: Spider-Man (2010),2010,2010,
9057,Siege: The Cabal (2010),2010,2010,
9765,Siege: Young Avengers (2010),2010,2010,
13759,Sigil (2011),2011,2011,
1134,Silent War (2007),2007,2007,T
20499,Silk (2015 - Present),2015,2099,Rated T
19661,Silk (2015),2015,2015,Rated T
16367,Silver Sable & the Wild Pack (1992),1992,1992,All Ages
18310,Silver Surfer (2014 - Present),2014,2099,Rated T+
2068,Silver Surfer (1988 - 1989),1988,1989,
13922,Silver Surfer (2010 - 2011),2010,2011,
20502,Silver Surfer (2016 - Present),2016,2099,Rated T+
2288,Silver Surfer (1987 - 1998),1987,1998,
17551,Silver Surfer by Stan Lee & Moebius (2013 - Present),2013,2099,
3064,Silver Surfer: In Thy Name (2007),2007,2007,A
2353,Silver Surfer: Requiem (2007 - 2009),2007,2009,T
14643,Six Guns (2011 - 2012),2011,2012,
13882,Skaar: King of the Savage Land (2011),2011,2011,
3691,Skrull Kill Krew (1995),1995,1995,
7588,Skrull Kill Krew Saga (2006),2006,2006,
5002,Son of Hulk (2008 - 2010),2008,2010,RATED T
15435,Space: Punisher (2011 - 2012),2011,2012,
16715,Spaceknights (2012),2012,2012,Rated T+
14868,Spectacular Spider-Man (2011),2011,2011,
2986,Spectacular Spider-Man Magazine (1968),1968,1968,
9856,Spider-Girl (2010 - 2011),2010,2011,
417,Spider-Girl (1998 - 2006),1998,2006,All Ages
3689,Spider-Girl Annual (1999),1999,1999,
12595,Spider-Girl: The End! (2010),2010,2010,
