19497,M.O.D.O.K. Assassin (2015 - Present),2015,2099,Parental Advisory
1154,Magician Apprentice (2006 - 2007),2006,2007,T
6675,Magik (1983 - 1984),1983,1984,
13342,Magneto (2010),2010,2010,
18407,Magneto (2014 - Present),2014,2099,Parental Advisory
2035,Magneto Rex (1999),1999,1999,
14683,Magneto: Not a Hero (2011 - 2012),2011,2012,
6005,March on Ultimatum Saga (2008 - Present),2008,2037,Rated T+
1102,Marvel 1602: Fantastick Four (2006 - 2007),2006,2007,T
783,Marvel 1602: New World (2005),2005,2005,T
4816,Marvel 1985 (2008),2008,2008,RATED T
19089,Marvel 75th Anniversary Celebration (2014),2014,2014,
2517,Marvel Adventures Hulk (2007 - 2008),2007,2008,ALL AGES
2205,Marvel Adventures Iron Man (2007 - 2008),2007,2008,ALL AGES
9748,Marvel Adventures Spider-Man (2010 - 2012),2010,2012,ALL AGES
866,Marvel Adventures Spider-Man (2005 - 2010),2005,2010,ALL AGES
5202,Marvel Adventures Super Heroes (2008 - 2010),2008,2010,All Ages
9718,Marvel Adventures Super Heroes (2010 - 2012),2010,2012,ALL AGES
1107,Marvel Adventures the Avengers (2006 - 2009),2006,2009,ALL AGES
817,Marvel Age Hulk (2004 - 2005),2004,2005,ALL AGES
816,Marvel Age Spider-Man Team-Up (2000 - 2005),2000,2005,All Ages
5642,Marvel Apes (2008),2008,2008,Rated T+
7210,Marvel Apes: Amazing Spider-Monkey (2009),2009,2009,RATED T
7443,Marvel Apes: Grunt Line Special (2009),2009,2009,RATED T+
7171,Marvel Assistant-Sized Spectacular (2009),2009,2009,RATED A
14677,Marvel Backlist Chronology (2011),2011,2011,
2036,Marvel Boy (2000 - 2001),2000,2001,
9185,Marvel Boy: The Uranian (2010),2010,2010,
2815,Marvel Comics Presents (2007 - 2008),2007,2008,Rated a
2039,Marvel Comics Presents (1988 - 1995),1988,1995,
8100,Marvel Divas (2009),2009,2009,
6676,Marvel Feature (1971 - 1973),1971,1973,
13345,Marvel Girl (2010 - 2011),2010,2011,
16349,Marvel Graphic Novel 1: The Death of Captain Marvel (1982),1982,1982,
9182,Marvel Heartbreakers (2010),2010,2010,
9251,Marvel Heartbreakers Digital (2010),2010,2010,
15460,Marvel Holiday Comic 2011 (2011),2011,2011,
3907,Marvel Holiday Special 2007 (2007),2007,2007,
9075,Marvel Holiday Spectacular (2009),2009,2009,
6203,Marvel Illustrated: Kidnapped! (2008 - 2009),2008,2009,Rated T+
5667,Marvel Illustrated: The Odyssey (2008 - 2009),2008,2009,RATED T+
4990,Marvel Illustrated: The Three Musketeers (2008 - 2009),2008,2009,Rated a
2576,Marvel Knights (2000 - 2001),2000,2001,
17691,Marvel Knights: Hulk (2013 - Present),2013,2099,Rated T+
17693,Marvel Knights: Spider-Man (2013 - Present),2013,2099,Rated T+
