21020,Obi-Wan and Anakin (2016 - Present),2016,2099,Rated T
9277,Official Handbook of the Marvel Universe A to Z Update (2010),2010,2010,
19614,Old Man Logan (2015 - Present),2015,2099,Parental Advisory
20617,Old Man Logan (2016 - Present),2016,2099,Parental Advisory
6680,Onslaught: Epilogue (1997),1997,1997,
2057,Onslaught: Marvel Universe (1996),1996,1996,
3900,Onslaught: X-Men (1996),1996,1996,
19616,Operation: S.I.N. (2015 - Present),2015,2099,Rated T
2062,Origin (2001 - 2002),2001,2002,
17926,Origin II (2013 - Present),2013,2099,Parental Advisory
18681,Original Sin (2014 - Present),2014,2099,Rated T+
19080,Original Sin Annual (2014),2014,2014,
19030,Original Sins (2014 - Present),2014,2099,
