ID, TITLE, ISSUENUMBER, EST_SALES, MONTH_RANK, DESCR, CHARACTERS, CREATORS, REL_EVENTS, DATE_INFO, PRICE_INFO
49011,100th Anniversary Special (2014) #1,1,36063,85,"Just in time for the release of their SEVENTH epic motion picture, the Guardians of the Galaxy are celebrating their 100th Anniversary...by taking on the THE SILVER GALACTUS!",, | writer:Andy Lanning | penciller (cover):David Lopez,, | onsaleDate:2014-07-30T00:00:00-0400 | focDate:2014-07-16T00:00:00-0400 | unlimitedDate:2015-01-26T00:00:00-0500 | digitalPurchaseDate:2014-07-30T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:3.99
49010,100th Anniversary Special (2014) #1,1,36063,85,"CELEBRATE 100 YEARS OF EARTH&#39;S MIGHTIEST HEROES &ndash; THE AVENGERS! Following the failed Badoon invasion of Earth and America&#39;s disappearance into the Negative Zone, how will the Avengers of 2061 cope?!",,,, | onsaleDate:2014-07-23T00:00:00-0400 | focDate:2014-07-09T00:00:00-0400 | unlimitedDate:2015-01-19T00:00:00-0500 | digitalPurchaseDate:2014-07-23T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:3.99
49009,100th Anniversary Special (2014) #1,1,36063,85,"- Have the X-Men of 2061 achieved Xavier's dream of mutants and humans living in harmony? Or will there always be a need for the X-Men?
",, | penciller (cover):In-Hyuk Lee | writer:Jennifer Van Meter,, | onsaleDate:2014-07-16T00:00:00-0400 | focDate:2014-07-02T00:00:00-0400 | unlimitedDate:2015-01-12T00:00:00-0500 | digitalPurchaseDate:2014-07-16T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:3.99
49008,100th Anniversary Special (2014) #1,1,36063,85,"It&#39;s 100 years after the wall-crawler&#39;s creation, but when the Kingpin has taken Spider-Man&#39;s ultra-powerful techno-symbiote suit, Spider-Man will need to prove once again why he is the world&#39;s greatest super hero.",, | penciller (cover):In-Hyuk Lee | writer:Sean Ryan,, | onsaleDate:2014-07-09T00:00:00-0400 | focDate:2014-06-25T00:00:00-0400 | unlimitedDate:2015-01-05T00:00:00-0500 | digitalPurchaseDate:2014-07-09T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:3.99
49007,100th Anniversary Special (2014) #1,1,36063,85,"A REMARKABLE ARTIFACT FROM THE FUTURE OF MARVEL COMICS! It&#39;s 2061 and the world of the Fantastic Four has turned upside-down, complete with the granddaughter of Doom...and the Richards-Banner twins",,,, | onsaleDate:2014-07-02T00:00:00-0400 | focDate:2014-06-18T00:00:00-0400 | unlimitedDate:2015-11-10T00:00:00-0500, | printPrice:3.99 | digitalPurchasePrice:3.99
43831,Fantastic Four (2012) #1,1,28626,99,"Marvel Now! begins for Marvel's First Family! Four adults. Two kids. One ""car."" The Fantastic Four take a journey through all of infinite time and space!
", | Fantastic Four, | penciler (cover):Mark Bagley | editor:Tom Brevoort | letterer:Chris Eliopoulos | inker (cover):Mark Farmer | writer:Matt Fraction | colorist:Paul Mounts,, | onsaleDate:2012-11-14T00:00:00-0500 | focDate:2012-10-31T00:00:00-0400 | unlimitedDate:2013-05-13T00:00:00-0400 | digitalPurchaseDate:2012-11-14T00:00:00-0500, | printPrice:2.99 | digitalPurchasePrice:1.99

49011,100th Anniversary Special (2014) #1,1,40449,64,"Just in time for the release of their SEVENTH epic motion picture, the Guardians of the Galaxy are celebrating their 100th Anniversary...by taking on the THE SILVER GALACTUS!",, | writer:Andy Lanning | penciller (cover):David Lopez,, | onsaleDate:2014-07-30T00:00:00-0400 | focDate:2014-07-16T00:00:00-0400 | unlimitedDate:2015-01-26T00:00:00-0500 | digitalPurchaseDate:2014-07-30T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:3.99
49010,100th Anniversary Special (2014) #1,1,40449,64,"CELEBRATE 100 YEARS OF EARTH&#39;S MIGHTIEST HEROES &ndash; THE AVENGERS! Following the failed Badoon invasion of Earth and America&#39;s disappearance into the Negative Zone, how will the Avengers of 2061 cope?!",,,, | onsaleDate:2014-07-23T00:00:00-0400 | focDate:2014-07-09T00:00:00-0400 | unlimitedDate:2015-01-19T00:00:00-0500 | digitalPurchaseDate:2014-07-23T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:3.99
49009,100th Anniversary Special (2014) #1,1,40449,64,"- Have the X-Men of 2061 achieved Xavier's dream of mutants and humans living in harmony? Or will there always be a need for the X-Men?
",, | penciller (cover):In-Hyuk Lee | writer:Jennifer Van Meter,, | onsaleDate:2014-07-16T00:00:00-0400 | focDate:2014-07-02T00:00:00-0400 | unlimitedDate:2015-01-12T00:00:00-0500 | digitalPurchaseDate:2014-07-16T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:3.99
