PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2010,JANUARY,1,Siege,1,3.99,Marvel,108484
COMIC,2010,JANUARY,2,Green Lantern,50,3.99,DC,106444
COMIC,2010,JANUARY,3,Batman and Robin,7,2.99,DC,87780
COMIC,2010,JANUARY,4,Captain America Reborn,6,3.99,Marvel,84844
COMIC,2010,JANUARY,5,New Avengers,61,3.99,Marvel,78202
COMIC,2010,JANUARY,6,Amazing Spider-Man,617,3.99,Marvel,76730
COMIC,2010,JANUARY,7,Green Lantern Corps,44,2.99,DC,76458
COMIC,2010,JANUARY,8,Dark Avengers,13,3.99,Marvel,73712
COMIC,2010,JANUARY,9,Blackest Night The Flash,2,2.99,DC,69381
COMIC,2010,JANUARY,10,Uncanny X-Men,520,2.99,Marvel,65758
COMIC,2010,JANUARY,11,Captain America,602,3.99,Marvel,63948
COMIC,2010,JANUARY,12,Batman,695,2.99,DC,63467
COMIC,2010,JANUARY,13,Justice League of America,41,3.99,DC,62262
COMIC,2010,JANUARY,14,Amazing Spider-Man,618,2.99,Marvel,61969
COMIC,2010,JANUARY,15,Blackest Night Wonder Woman,2,2.99,DC,61372
COMIC,2010,JANUARY,16,Blackest Night JSA,2,2.99,DC,58751
COMIC,2010,JANUARY,17,Amazing Spider-Man,619,2.99,Marvel,56837
COMIC,2010,JANUARY,18,Thor,606,2.99,Marvel,55353
COMIC,2010,JANUARY,19,Hulk,19,3.99,Marvel,54266
COMIC,2010,JANUARY,20,Siege Embedded,1,3.99,Marvel,53170
COMIC,2010,JANUARY,21,Dark Wolverine,82,2.99,Marvel,52015
COMIC,2010,JANUARY,22,X-Force,23,2.99,Marvel,50848
COMIC,2010,JANUARY,23,X-Men Legacy,232,2.99,Marvel,49200
COMIC,2010,JANUARY,24,Justice League Cry for Justice,6,3.99,DC,49193
COMIC,2010,JANUARY,25,Buffy The Vampire Slayer,31,2.99,Dark Horse,47013
COMIC,2010,JANUARY,26,Mighty Avengers,33,2.99,Marvel,46899
COMIC,2010,JANUARY,27,Invincible Iron Man,22,2.99,Marvel,46763
COMIC,2010,JANUARY,28,Kick Ass,8,2.99,Marvel,46414
COMIC,2010,JANUARY,29,Detective Comics,861,3.99,DC,45937
COMIC,2010,JANUARY,30,Incredible Hulk,606,3.99,Marvel,44855
COMIC,2010,JANUARY,31,Superman Secret Origin,4,3.99,DC,43863
COMIC,2010,JANUARY,32,Ultimate Comics Spider-Man,6,3.99,Marvel,43622
COMIC,2010,JANUARY,33,Adventure Comics,6,3.99,DC,42514
COMIC,2010,JANUARY,34,Fall of Hulks Red Hulk,1,3.99,Marvel,42482
COMIC,2010,JANUARY,35,Fantastic Four,575,2.99,Marvel,41284
COMIC,2010,JANUARY,36,Deadpool Merc With A Mouth,7,3.99,Marvel,40568
COMIC,2010,JANUARY,37,Justice Society of America,35,2.99,DC,39934
COMIC,2010,JANUARY,38,Catwoman,83,2.99,DC,39239
COMIC,2010,JANUARY,39,Ultimate Comics Enemy,1,3.99,Marvel,38880
COMIC,2010,JANUARY,40,Starman,81,2.99,DC,38671
COMIC,2010,JANUARY,41,Secret Six,,2.99,DC,38515
COMIC,2010,JANUARY,42,Dark X-Men,3,3.99,Marvel,37873
COMIC,2010,JANUARY,43,Red Robin,8,2.99,DC,37869
COMIC,2010,JANUARY,44,Atom and Hawkman,46,2.99,DC,37854
COMIC,2010,JANUARY,45,Suicide Squad,67,2.99,DC,37818
COMIC,2010,JANUARY,46,Daredevil,504,2.99,Marvel,37135
COMIC,2010,JANUARY,47,Power of Shazam,48,2.99,DC,36793
COMIC,2010,JANUARY,48,Batman Widening Gyre,4,2.99,DC,36729
COMIC,2010,JANUARY,49,Avengers Initiative,32,2.99,Marvel,36127
COMIC,2010,JANUARY,50,Phantom Stranger,42,2.99,DC,35937
COMIC,2010,JANUARY,51,Blackest Night,6,3.99,DC,35334
COMIC,2010,JANUARY,52,Wolverine Origins,44,2.99,Marvel,35154
COMIC,2010,JANUARY,53,Superman Batman,68,2.99,DC,33869
COMIC,2010,JANUARY,54,Weird Western Tales,71,2.99,DC,33702
COMIC,2010,JANUARY,55,Nation X,2,3.99,Marvel,33596
COMIC,2010,JANUARY,56,Superman World of New Krypton,11,2.99,DC,32728
COMIC,2010,JANUARY,57,Deadpool Team-Up,897,2.99,Marvel,32671
COMIC,2010,JANUARY,58,JSA All Stars,2,3.99,DC,32601
COMIC,2010,JANUARY,59,Superman,696,2.99,DC,31940
COMIC,2010,JANUARY,60,Wolverine Weapon X,9,3.99,Marvel,31678
COMIC,2010,JANUARY,61,Marvels Project,5,3.99,Marvel,31644
COMIC,2010,JANUARY,62,Action Comics,885,3.99,DC,30678
COMIC,2010,JANUARY,63,New Mutants,9,2.99,Marvel,30572
COMIC,2010,JANUARY,64,Batgirl,6,2.99,DC,30403
COMIC,2010,JANUARY,65,Secret Warriors,12,2.99,Marvel,29894
COMIC,2010,JANUARY,66,X-Factor,201,2.99,Marvel,29732
COMIC,2010,JANUARY,67,Nation X X-Factor,,3.99,Marvel,29617
COMIC,2010,JANUARY,68,Thunderbolts,140,2.99,Marvel,28644
COMIC,2010,JANUARY,69,Cable,22,2.99,Marvel,28414
COMIC,2010,JANUARY,70,Batman Streets of Gotham,8,3.99,DC,28313
COMIC,2010,JANUARY,71,Gotham City Sirens,8,2.99,DC,28254
COMIC,2010,JANUARY,72,Teen Titans,79,3.99,DC,27790
COMIC,2010,JANUARY,73,Supergirl,49,2.99,DC,27728
COMIC,2010,JANUARY,74,Spider-Woman,5,2.99,Marvel,27716
COMIC,2010,JANUARY,75,Haunt,4,2.99,Image,26420
COMIC,2010,JANUARY,76,Siege Storming Asgard,,3.99,Marvel,26084
COMIC,2010,JANUARY,77,Joe The Barbarian,1,1.0,DC,25543
COMIC,2010,JANUARY,78,Wonder Woman,40,2.99,DC,25156
