PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2011,AUGUST,1,Justice League,1,3.99,DC,171344
COMIC,2011,AUGUST,2,Flashpoint,5,3.99,DC,94547
COMIC,2011,AUGUST,3,Fear Itself,5,3.99,Marvel,90914
COMIC,2011,AUGUST,4,Flashpoint,4,3.99,DC,86216
COMIC,2011,AUGUST,5,Ultimate Comics Fallout,4,3.99,Marvel,73764
COMIC,2011,AUGUST,6,Amazing Spider-Man,667,3.99,Marvel,71235
COMIC,2011,AUGUST,7,Avengers,16,3.99,Marvel,60295
COMIC,2011,AUGUST,8,War of the Green Lanterns Aftermath,2,3.99,DC,57707
COMIC,2011,AUGUST,9,Amazing Spider-Man,668,3.99,Marvel,57533
COMIC,2011,AUGUST,10,New Avengers,15,3.99,Marvel,56035
COMIC,2011,AUGUST,11,Uncanny X-Men,542,3.99,Marvel,54840
COMIC,2011,AUGUST,12,Captain America,2,3.99,Marvel,54384
COMIC,2011,AUGUST,13,Kick-Ass 2,3,2.99,Marvel,54270
COMIC,2011,AUGUST,14,Uncanny X-Force,13,3.99,Marvel,53904
COMIC,2011,AUGUST,15,Batman Incorporated,8,2.99,DC,53481
COMIC,2011,AUGUST,16,Green Lantern Corps,63,2.99,DC,53372
COMIC,2011,AUGUST,17,Batman the Dark Knight,5,2.99,DC,52908
COMIC,2011,AUGUST,18,Batman And Robin,26,2.99,DC,52704
COMIC,2011,AUGUST,19,FF,8,2.99,Marvel,51917
COMIC,2011,AUGUST,20,Batman,713,2.99,DC,51760
COMIC,2011,AUGUST,21,Uncanny X-Force,14,3.99,Marvel,50770
COMIC,2011,AUGUST,22,X-Men Schism,3,3.99,Marvel,50147
COMIC,2011,AUGUST,23,Ultimate Comics Ultimates,1,3.99,Marvel,47630
COMIC,2011,AUGUST,24,Secret Avengers,16,3.99,Marvel,46317
COMIC,2011,AUGUST,25,Punisher,1,3.99,Marvel,44725
COMIC,2011,AUGUST,26,Mighty Thor,5,3.99,Marvel,44594
COMIC,2011,AUGUST,27,Green Lantern Emerald Warriors,13,2.99,DC,44228
COMIC,2011,AUGUST,28,X-Men,16,3.99,Marvel,43161
COMIC,2011,AUGUST,29,Justice League of America,60,2.99,DC,42587
COMIC,2011,AUGUST,30,Punisher,2,2.99,Marvel,42459
COMIC,2011,AUGUST,31,Ultimate Comics Fallout,5,3.99,Marvel,41336
COMIC,2011,AUGUST,32,Daredevil,2,2.99,Marvel,40990
COMIC,2011,AUGUST,33,X-Men Legacy,253,2.99,Marvel,40466
COMIC,2011,AUGUST,34,"Flashpoint Batman Knight ofVengeance",3,2.99,DC,40275
COMIC,2011,AUGUST,35,Invincible Iron Man,507,3.99,Marvel,40082
COMIC,2011,AUGUST,36,X-Men Legacy,254,2.99,Marvel,39896
COMIC,2011,AUGUST,37,Detective Comics,881,3.99,DC,39729
COMIC,2011,AUGUST,38,Action Comics,904,2.99,DC,39323
COMIC,2011,AUGUST,39,Wolverine,13,3.99,Marvel,39296
COMIC,2011,AUGUST,40,Ultimate Comics Fallout,6,3.99,Marvel,39190
COMIC,2011,AUGUST,41,Wolverine,14,3.99,Marvel,38869
COMIC,2011,AUGUST,42,Incredible Hulks,635,3.99,Marvel,38223
COMIC,2011,AUGUST,43,X-Men,15.1,2.99,Marvel,38078
COMIC,2011,AUGUST,44,"Brightest Day Aftermath Search forSwamp Thing",3,2.99,DC,37509
COMIC,2011,AUGUST,45,Captain America And Bucky,621,2.99,Marvel,36069
COMIC,2011,AUGUST,46,Superman,714,2.99,DC,35919
COMIC,2011,AUGUST,47,Venom,6,2.99,Marvel,35033
COMIC,2011,AUGUST,48,Teenage Mutant Ninja Turtles Ongoing,1,3.99,IDW,34803
COMIC,2011,AUGUST,49,Fear Itself Uncanny X-Force,2,2.99,Marvel,34640
COMIC,2011,AUGUST,50,Astonishing X-Men,41,3.99,Marvel,33470
COMIC,2011,AUGUST,51,Walking Dead,88,2.99,Image,31839
COMIC,2011,AUGUST,52,"Flashpoint Abin Sur the GreenLantern",3,2.99,DC,31820
COMIC,2011,AUGUST,53,Journey Into Mystery,626,2.99,Marvel,31549
COMIC,2011,AUGUST,54,Flashpoint Project Superman,3,2.99,DC,30565
COMIC,2011,AUGUST,55,Ultimate Comics Hawkeye,1,3.99,Marvel,30469
COMIC,2011,AUGUST,56,Moon Knight,4,3.99,Marvel,30237
COMIC,2011,AUGUST,57,"Flashpoint Wonder Woman And theFuries",3,2.99,DC,29492
COMIC,2011,AUGUST,58,Flashpoint Emperor Aquaman,3,2.99,DC,29491
COMIC,2011,AUGUST,59,Generation Hope,10,2.99,Marvel,29245
COMIC,2011,AUGUST,60,Wonder Woman,614,2.99,DC,29223
COMIC,2011,AUGUST,61,Hulk,38,2.99,Marvel,29059
COMIC,2011,AUGUST,62,Flashpoint Hal Jordan,3,2.99,DC,28911
COMIC,2011,AUGUST,63,Batman Arkham City,4,2.99,DC,28573
COMIC,2011,AUGUST,64,Booster Gold,47,2.99,DC,28295
COMIC,2011,AUGUST,65,Batman Arkham City,5,2.99,DC,28042
COMIC,2011,AUGUST,66,Journey Into Mystery,626.1,2.99,Marvel,27877
COMIC,2011,AUGUST,67,Flashpoint the World of Flashpoint,3,2.99,DC,27743
COMIC,2011,AUGUST,68,Teen Titans,100,4.99,DC,27459
COMIC,2011,AUGUST,69,Infinite,1,2.99,Image,27434
COMIC,2011,AUGUST,70,Incredible Hulks,634,2.99,Marvel,27310
COMIC,2011,AUGUST,71,New Mutants,29,2.99,Marvel,27205
COMIC,2011,AUGUST,72,Red Robin,26,2.99,DC,26939
COMIC,2011,AUGUST,73,Hulk,39,2.99,Marvel,26895
COMIC,2011,AUGUST,74,Deadpool,42,2.99,Marvel,26794
COMIC,2011,AUGUST,75,Deadpool,41,2.99,Marvel,26766
COMIC,2011,AUGUST,76,New Mutants,30,2.99,Marvel,26678
COMIC,2011,AUGUST,77,Batman Gates of Gotham,4,2.99,DC,26533
COMIC,2011,AUGUST,78,Thunderbolts,161,2.99,Marvel,26439
COMIC,2011,AUGUST,79,Superman Batman,87,2.99,DC,26425
COMIC,2011,AUGUST,80,Birds of Prey,15,2.99,DC,26043
COMIC,2011,AUGUST,81,"Flashpoint Deadman and the FlyingGraysons",3,2.99,DC,25991
COMIC,2011,AUGUST,82,Thunderbolts,162,2.99,Marvel,25990
COMIC,2011,AUGUST,83,Flashpoint Kid Flash Lost,3,2.99,DC,25978
COMIC,2011,AUGUST,84,Superman Beyond,0,3.99,DC,25793
COMIC,2011,AUGUST,85,Justice Society of America,54,2.99,DC,25584
COMIC,2011,AUGUST,86,Batman Gates of Gotham,5,2.99,DC,25376
COMIC,2011,AUGUST,87,Fear Itself Wolverine,2,2.99,Marvel,25268
COMIC,2011,AUGUST,88,Flashpoint Citizen Cold,3,2.99,DC,25009
COMIC,2011,AUGUST,89,Avengers Academy,17,2.99,Marvel,24898
COMIC,2011,AUGUST,90,Alpha Flight,3,2.99,Marvel,24872
COMIC,2011,AUGUST,91,"Flashpoint Deathstroke the Curse ofRavager",3,2.99,DC,24634
COMIC,2011,AUGUST,92,Avengers Academy,18,2.99,Marvel,24538
COMIC,2011,AUGUST,93,Ghost Rider,2,2.99,Marvel,24440
COMIC,2011,AUGUST,94,"Flashpoint Lois Lane and theResistance",3,2.99,DC,24060
COMIC,2011,AUGUST,95,X-23,13,2.99,Marvel,23976
COMIC,2011,AUGUST,96,Green Arrow,15,2.99,DC,23883
COMIC,2011,AUGUST,97,X-Factor,223,2.99,Marvel,23854
COMIC,2011,AUGUST,98,Teen Titans,99,2.99,DC,23756
COMIC,2011,AUGUST,99,Flashpoint Secret Seven,3,2.99,DC,23747
COMIC,2011,AUGUST,100,X-Factor,224,2.99,Marvel,23681
COMIC,2011,AUGUST,101,"Flashpoint Frankenstein Creaturesof Unknown",3,2.99,DC,23131
COMIC,2011,AUGUST,102,Flashpoint Legion of Doom,3,2.99,DC,23088
