PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2011,FEBRUARY,1,Green Lantern,62,2.99,DC,71517
COMIC,2011,FEBRUARY,2,Brightest Day,19,2.99,DC,71063
COMIC,2011,FEBRUARY,3,Brightest Day,20,2.99,DC,69729
COMIC,2011,FEBRUARY,4,Avengers,10,3.99,Marvel,63924
COMIC,2011,FEBRUARY,5,Fantastic Four,588,3.99,Marvel,63529
COMIC,2011,FEBRUARY,6,New Avengers,9,3.99,Marvel,60914
COMIC,2011,FEBRUARY,7,Batman And Robin,20,2.99,DC,60642
COMIC,2011,FEBRUARY,8,Batman,707,2.99,DC,58803
COMIC,2011,FEBRUARY,9,Flash,9,2.99,DC,55980
COMIC,2011,FEBRUARY,10,Amazing Spider-Man,654.1,2.99,Marvel,55283
COMIC,2011,FEBRUARY,11,X-Men Legacy,245,2.99,Marvel,53888
COMIC,2011,FEBRUARY,12,Amazing Spider-Man,654,3.99,Marvel,53882
COMIC,2011,FEBRUARY,13,Uncanny X-Men,533,3.99,Marvel,53834
COMIC,2011,FEBRUARY,14,Amazing Spider-Man,655,3.99,Marvel,53366
COMIC,2011,FEBRUARY,15,Amazing Spider-Man,653,3.99,Marvel,53103
COMIC,2011,FEBRUARY,16,Green Lantern Corps,57,2.99,DC,52770
COMIC,2011,FEBRUARY,17,Uncanny X-Force,5,3.99,Marvel,51470
COMIC,2011,FEBRUARY,18,Secret Avengers,10,3.99,Marvel,49717
COMIC,2011,FEBRUARY,19,X-Men,8,3.99,Marvel,49522
COMIC,2011,FEBRUARY,20,Ultimate Avengers Vs New Ultimates,1,3.99,Marvel,49360
COMIC,2011,FEBRUARY,21,Justice League of America,54,2.99,DC,46269
COMIC,2011,FEBRUARY,22,Wolverine,6,3.99,Marvel,45932
COMIC,2011,FEBRUARY,23,Green Lantern Emerald Warriors,7,2.99,DC,44828
COMIC,2011,FEBRUARY,24,Wolverine,5.1,2.99,Marvel,44332
COMIC,2011,FEBRUARY,25,Astonishing X-Men,36,3.99,Marvel,44326
COMIC,2011,FEBRUARY,26,Ultimate Comics Spider-Man,153,3.99,Marvel,43986
COMIC,2011,FEBRUARY,27,Ultimate Comics Spider-Man,154,3.99,Marvel,43209
COMIC,2011,FEBRUARY,28,Invincible Iron Man,500.1,2.99,Marvel,42191
COMIC,2011,FEBRUARY,29,Thor,620,3.99,Marvel,42106
COMIC,2011,FEBRUARY,30,Captain America,615,3.99,Marvel,41935
COMIC,2011,FEBRUARY,31,Invincible Iron Man,501,3.99,Marvel,41517
COMIC,2011,FEBRUARY,32,Superman,708,2.99,DC,40639
COMIC,2011,FEBRUARY,33,Detective Comics,874,2.99,DC,39106
COMIC,2011,FEBRUARY,34,Ultimate Comics New Ultimates,5,3.99,Marvel,38663
COMIC,2011,FEBRUARY,35,New Mutants,22,2.99,Marvel,36737
COMIC,2011,FEBRUARY,36,DC Universe Online Legends,1,2.99,DC,36517
COMIC,2011,FEBRUARY,37,Wolverine,1000,4.99,Marvel,34152
COMIC,2011,FEBRUARY,38,Green Arrow,9,2.99,DC,33922
COMIC,2011,FEBRUARY,39,Hulk,29,3.99,Marvel,33375
COMIC,2011,FEBRUARY,40,Wonder Woman,607,2.99,DC,33053
COMIC,2011,FEBRUARY,41,Hulk,30,3.99,Marvel,32907
COMIC,2011,FEBRUARY,42,Astonishing X-Men Xenogenesis,5,3.99,Marvel,32093
COMIC,2011,FEBRUARY,43,Action Comics,898,2.99,DC,31935
COMIC,2011,FEBRUARY,44,Iron Man 2.0,1,3.99,Marvel,31830
COMIC,2011,FEBRUARY,45,Walking Dead,81,2.99,Image,30750
COMIC,2011,FEBRUARY,46,Birds of Prey,9,2.99,DC,30641
COMIC,2011,FEBRUARY,47,Justice League Generation Lost,19,2.99,DC,30549
COMIC,2011,FEBRUARY,48,Incredible Hulks,622,2.99,Marvel,30404
COMIC,2011,FEBRUARY,49,Red Robin,20,2.99,DC,30149
COMIC,2011,FEBRUARY,50,Incredible Hulks,623,2.99,Marvel,30140
COMIC,2011,FEBRUARY,51,Justice League Generation Lost,20,2.99,DC,30040
COMIC,2011,FEBRUARY,52,Superman Batman,81,2.99,DC,29567
COMIC,2011,FEBRUARY,53,Justice Society of America,48,2.99,DC,29139
COMIC,2011,FEBRUARY,54,Daredevil Reborn,2,3.99,Marvel,29108
COMIC,2011,FEBRUARY,55,Batman Odyssey,6,3.99,DC,29093
COMIC,2011,FEBRUARY,56,Batman Beyond,2,2.99,DC,28956
COMIC,2011,FEBRUARY,57,DC Universe Online Legends,2,2.99,DC,28953
COMIC,2011,FEBRUARY,58,Daken Dark Wolverine,5,2.99,Marvel,28833
COMIC,2011,FEBRUARY,59,Deadpool,33,2.99,Marvel,28649
COMIC,2011,FEBRUARY,60,Onslaught Unleashed,1,3.99,Marvel,28434
COMIC,2011,FEBRUARY,61,Carnage,3,3.99,Marvel,28334
COMIC,2011,FEBRUARY,62,Wolverine Best There Is,3,3.99,Marvel,27790
COMIC,2011,FEBRUARY,63,Power Man And Iron Fist,1,2.99,Marvel,27579
COMIC,2011,FEBRUARY,64,Superboy,4,2.99,DC,27448
COMIC,2011,FEBRUARY,65,Ultimate Comics Captain America,2,3.99,Marvel,27399
COMIC,2011,FEBRUARY,66,X-23,6,2.99,Marvel,27156
COMIC,2011,FEBRUARY,67,Ultimate Comics Thor,4,3.99,Marvel,26776
COMIC,2011,FEBRUARY,68,Shield,6,2.99,Marvel,26190
COMIC,2011,FEBRUARY,69,Teen Titans,92,2.99,DC,26170
COMIC,2011,FEBRUARY,70,Thunderbolts,153,2.99,Marvel,26098
COMIC,2011,FEBRUARY,71,X-Factor,215,2.99,Marvel,25298
COMIC,2011,FEBRUARY,72,Black Panther Man Without Fear,515,2.99,Marvel,24556
COMIC,2011,FEBRUARY,73,Silver Surfer,1,2.99,Marvel,24409
COMIC,2011,FEBRUARY,74,Batgirl,18,2.99,DC,24390
COMIC,2011,FEBRUARY,75,Legion of Super Heroes,10,2.99,DC,23738
COMIC,2011,FEBRUARY,76,Avengers Academy,9,2.99,Marvel,23709
COMIC,2011,FEBRUARY,77,Fantastic Four,587,3.99,Marvel,23398
COMIC,2011,FEBRUARY,78,Adventure Comics,523,2.99,DC,23127
COMIC,2011,FEBRUARY,79,Deadpool And Cable,26,3.99,Marvel,22956
COMIC,2011,FEBRUARY,80,Secret Warriors,24,2.99,Marvel,22704
COMIC,2011,FEBRUARY,81,Heroes For Hire,3,2.99,Marvel,22401
COMIC,2011,FEBRUARY,82,Legion of Super Heroes Annual,1,4.99,DC,22201
COMIC,2011,FEBRUARY,83,Generation Hope,4,2.99,Marvel,22170
COMIC,2011,FEBRUARY,84,Supergirl,61,2.99,DC,22048
COMIC,2011,FEBRUARY,85,Gotham City Sirens,19,2.99,DC,21631
COMIC,2011,FEBRUARY,86,DC Universe Legacies,9,3.99,DC,21419
COMIC,2011,FEBRUARY,87,Time Masters Vanishing Point,6,3.99,DC,21097
COMIC,2011,FEBRUARY,88,Ultimate Comics Doom,3,3.99,Marvel,21039
COMIC,2011,FEBRUARY,89,Titans,32,2.99,DC,20949
COMIC,2011,FEBRUARY,90,Gotham City Sirens,20,2.99,DC,20822
COMIC,2011,FEBRUARY,91,True Blood Tainted Love,1,3.99,IDW,19824
COMIC,2011,FEBRUARY,92,Secret Six,30,2.99,DC,19763
COMIC,2011,FEBRUARY,93,Punishermax,10,3.99,Marvel,19236
COMIC,2011,FEBRUARY,94,Fables,102,2.99,DC,19215
COMIC,2011,FEBRUARY,95,Boys,51,3.99,Dynamic Forces,18728
COMIC,2011,FEBRUARY,96,Spawn,202,2.99,Image,18335
COMIC,2011,FEBRUARY,97,Deadpoolmax,5,3.99,Marvel,18221
COMIC,2011,FEBRUARY,98,Superman 80 Page Giant 2011,1,5.99,DC,18069
COMIC,2011,FEBRUARY,99,Wolverine & Jubilee,2,2.99,Marvel,17917
COMIC,2011,FEBRUARY,100,"Dark Tower Gunslinger LittleSisters Eluria",3,3.99,Marvel,17748
COMIC,2011,FEBRUARY,101,Star Wars Legacy War,3,3.5,Dark Horse,17697
COMIC,2011,FEBRUARY,102,Venom Deadpool,1,2.99,Marvel,17609
COMIC,2011,FEBRUARY,103,Thor For Asgard,6,3.99,Marvel,17434
COMIC,2011,FEBRUARY,104,Garth Ennis Jennifer Blood,1,3.99,Dynamic Forces,17413
COMIC,2011,FEBRUARY,105,JSA All Stars,15,2.99,DC,17409
COMIC,2011,FEBRUARY,106,Hellboy Sleeping & Dead,2,3.5,Dark Horse,17160
COMIC,2011,FEBRUARY,107,"Star Wars Darth Vader &Lost Command",2,3.5,Dark Horse,17115
COMIC,2011,FEBRUARY,108,Power Girl,21,2.99,DC,16940
COMIC,2011,FEBRUARY,109,American Vampire,12,2.99,DC,16522
COMIC,2011,FEBRUARY,110,Vampirella,3,3.99,Dynamic Forces,16366
COMIC,2011,FEBRUARY,111,Stand No Mans Land,1,3.99,Marvel,16094
COMIC,2011,FEBRUARY,112,Deadpool Team-Up,885,2.99,Marvel,15980
COMIC,2011,FEBRUARY,113,Booster Gold,41,2.99,DC,15864
COMIC,2011,FEBRUARY,114,Incognito Bad Influences,3,3.5,Marvel,15758
COMIC,2011,FEBRUARY,115,Spawn,203,2.99,Image,15572
COMIC,2011,FEBRUARY,116,Deadpool Corps,11,2.99,Marvel,15538
COMIC,2011,FEBRUARY,117,Deadpool Team-Up,884,2.99,Marvel,15526
COMIC,2011,FEBRUARY,118,Invincible,77,2.99,Image,15515
COMIC,2011,FEBRUARY,119,Haunt,13,1.99,Image,15413
COMIC,2011,FEBRUARY,120,Spider-Girl,3,2.99,Marvel,15302
COMIC,2011,FEBRUARY,121,Osborn,3,3.99,Marvel,15170
COMIC,2011,FEBRUARY,122,Cinderella Fables Are Forever,1,2.99,DC,15026
COMIC,2011,FEBRUARY,123,Invaders Now,5,3.99,Marvel,14897
COMIC,2011,FEBRUARY,124,Punisher In Blood,4,3.99,Marvel,14861
COMIC,2011,FEBRUARY,125,Spider-Girl,4,2.99,Marvel,14804
COMIC,2011,FEBRUARY,126,Warlord Of Mars,4,3.99,Dynamic Forces,14780
COMIC,2011,FEBRUARY,127,Hawkeye: Blind Spot,1,2.99,Marvel,14235
COMIC,2011,FEBRUARY,128,Namor First Mutant,7,2.99,Marvel,14001
COMIC,2011,FEBRUARY,129,X-Men To Serve And Protect,4,3.99,Marvel,13998
COMIC,2011,FEBRUARY,130,King Conan Scarlet Citadel,1,3.5,Dark Horse,13935
COMIC,2011,FEBRUARY,131,Marvel Girl,1,2.99,Marvel,13918
COMIC,2011,FEBRUARY,132,Iron Man Thor,4,3.99,Marvel,13313
COMIC,2011,FEBRUARY,133,Angel,42,3.99,IDW,13136
COMIC,2011,FEBRUARY,134,Widow Maker,4,3.99,Marvel,13102
COMIC,2011,FEBRUARY,135,Loki,3,3.99,Marvel,13039
COMIC,2011,FEBRUARY,136,Transformers Infestation,1,3.99,IDW,12961
COMIC,2011,FEBRUARY,137,Outsiders,36,2.99,DC,12848
COMIC,2011,FEBRUARY,138,Star Wars Knight Errant,5,2.99,Dark Horse,12803
COMIC,2011,FEBRUARY,139,Batman Confidential,53,2.99,DC,12779
COMIC,2011,FEBRUARY,140,Green Hornet,13,3.99,Dynamic Forces,12503
COMIC,2011,FEBRUARY,141,She-Hulks,4,2.99,Marvel,12226
COMIC,2011,FEBRUARY,142,Power Man And Iron Fist,2,2.99,Marvel,12181
COMIC,2011,FEBRUARY,143,Star Trek Infestation,1,3.99,IDW,12090
COMIC,2011,FEBRUARY,144,Transformers Infestation,2,3.99,IDW,11969
COMIC,2011,FEBRUARY,145,Spongebob Comics,1,2.99,Bongo,11814
COMIC,2011,FEBRUARY,146,Captain America Man Out Of Time,4,3.99,Marvel,11726
COMIC,2011,FEBRUARY,147,Iron Man Legacy,11,2.99,Marvel,11673
COMIC,2011,FEBRUARY,148,Weird Worlds,2,3.99,DC,11587
COMIC,2011,FEBRUARY,149,Bprd Hell On Earth Gods,2,3.5,Dark Horse,11585
COMIC,2011,FEBRUARY,150,"Witchfinder Lost & GoneForever",1,2.99,Dark Horse,11404
COMIC,2011,FEBRUARY,151,Unwritten,22,2.99,DC,11371
COMIC,2011,FEBRUARY,152,Archie,617,2.99,Archie,11358
COMIC,2011,FEBRUARY,153,Doctor Strange From Marvel Vault,1,2.99,Marvel,11248
COMIC,2011,FEBRUARY,154,Izombie,10,2.99,DC,11182
COMIC,2011,FEBRUARY,155,Morning Glories,7,2.99,Image,11037
COMIC,2011,FEBRUARY,156,Lady Death,2,3.99,Avatar,11033
COMIC,2011,FEBRUARY,157,Captain America Hail Hydra,2,2.99,Marvel,11029
COMIC,2011,FEBRUARY,158,Star Trek Infestation,2,3.99,IDW,10906
COMIC,2011,FEBRUARY,159,Young Justice,1,2.99,DC,10777
COMIC,2011,FEBRUARY,160,Doom Patrol,19,2.99,DC,10681
COMIC,2011,FEBRUARY,161,Thunderstrike,3,3.99,Marvel,10638
COMIC,2011,FEBRUARY,162,Hack Slash Ongoing,1,3.5,Image,10553
COMIC,2011,FEBRUARY,163,Rebels,25,2.99,DC,10351
COMIC,2011,FEBRUARY,164,G.I. Joe,26,3.99,IDW,10323
