PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2011,JUNE,1,Ultimate Spider-Man,160,3.99,Marvel,159355
COMIC,2011,JUNE,2,Fear Itself,3,3.99,Marvel,95621
COMIC,2011,JUNE,3,Flashpoint,2,3.99,DC,87505
COMIC,2011,JUNE,4,Avengers,14,3.99,Marvel,64057
COMIC,2011,JUNE,5,FF,5,2.99,Marvel,58925
COMIC,2011,JUNE,6,New Avengers,13,3.99,Marvel,57682
COMIC,2011,JUNE,7,Amazing Spider-Man,663,3.99,Marvel,57040
COMIC,2011,JUNE,8,Batman Incorporated,7,2.99,DC,56108
COMIC,2011,JUNE,9,Batman And Robin,24,2.99,DC,54984
COMIC,2011,JUNE,10,Amazing Spider-Man,664,3.99,Marvel,54808
COMIC,2011,JUNE,11,Uncanny X-Men,539,3.99,Marvel,54284
COMIC,2011,JUNE,12,Green Lantern Emerald Warriors,11,2.99,DC,53927
COMIC,2011,JUNE,13,Uncanny X-Men,538,3.99,Marvel,53319
COMIC,2011,JUNE,14,Uncanny X-Force,11,3.99,Marvel,53199
COMIC,2011,JUNE,15,Batman,711,2.99,DC,53113
COMIC,2011,JUNE,16,Brightest Day Aftermath The Search,1,2.99,DC,51928
COMIC,2011,JUNE,17,Ultimate Spider-Man,159,3.99,Marvel,51766
COMIC,2011,JUNE,18,Secret Avengers,14,3.99,Marvel,49898
COMIC,2011,JUNE,19,Mighty Thor,3,3.99,Marvel,48114
COMIC,2011,JUNE,20,Alpha Flight,1,3.99,Marvel,46851
COMIC,2011,JUNE,21,X-Men,12,3.99,Marvel,45786
COMIC,2011,JUNE,22,Justice League of America,58,2.99,DC,45442
COMIC,2011,JUNE,23,"Flashpoint Batman Knight ofVengeance",1,2.99,DC,45129
COMIC,2011,JUNE,24,X-Men Legacy,250,4.99,Marvel,45070
COMIC,2011,JUNE,25,Captain America,619,3.99,Marvel,44796
COMIC,2011,JUNE,26,X-Men,13,3.99,Marvel,44665
COMIC,2011,JUNE,27,X-Men Legacy,251,2.99,Marvel,43479
COMIC,2011,JUNE,28,Ultimate Avengers Vs New Ultimates,5,3.99,Marvel,42803
COMIC,2011,JUNE,29,Wolverine,10,3.99,Marvel,42677
COMIC,2011,JUNE,30,Invincible Iron Man,505,3.99,Marvel,42327
COMIC,2011,JUNE,31,Action Comics,902,2.99,DC,41960
COMIC,2011,JUNE,32,Wolverine,11,3.99,Marvel,41813
COMIC,2011,JUNE,33,"Flashpoint Abin Sur The GreenLantern",1,2.99,DC,41612
COMIC,2011,JUNE,34,Flashpoint Hal Jordan,1,2.99,DC,39404
COMIC,2011,JUNE,35,Detective Comics,878,2.99,DC,39152
COMIC,2011,JUNE,36,Venom,4,2.99,Marvel,38946
COMIC,2011,JUNE,37,Flashpoint Project Superman,1,2.99,DC,38045
COMIC,2011,JUNE,38,Superman,712,2.99,DC,37362
COMIC,2011,JUNE,39,Astonishing X-Men,39,3.99,Marvel,37127
COMIC,2011,JUNE,40,"Flashpoint Wonder Woman And TheFuries",1,2.99,DC,36365
COMIC,2011,JUNE,41,Flashpoint The World of Flashpoint,1,2.99,DC,36358
COMIC,2011,JUNE,42,Flashpoint Emperor Aquaman,1,2.99,DC,36297
COMIC,2011,JUNE,43,Journey Into Mystery,624,2.99,Marvel,35834
COMIC,2011,JUNE,44,Moon Knight,2,3.99,Marvel,35333
COMIC,2011,JUNE,45,Ultimate Comics X,5,3.99,Marvel,34730
COMIC,2011,JUNE,46,Flashpoint Kid Flash Lost,1,2.99,DC,34148
COMIC,2011,JUNE,47,Flashpoint Secret Seven,1,2.99,DC,33069
COMIC,2011,JUNE,48,Flashpoint Citizen Cold,1,2.99,DC,32969
COMIC,2011,JUNE,49,"Flashpoint Deadman And The FlyingGraysons",1,2.99,DC,32950
COMIC,2011,JUNE,50,Flashpoint The Reverse Flash,1,2.99,DC,32554
COMIC,2011,JUNE,51,"Flashpoint Deathstroke The Curse ofRavager",1,2.99,DC,32188
COMIC,2011,JUNE,52,Walking Dead,86,2.99,Image,32187
COMIC,2011,JUNE,53,"Flashpoint Lois Lane And TheResistance",1,2.99,DC,31325
COMIC,2011,JUNE,54,Flashpoint Legion of Doom,1,2.99,DC,31244
COMIC,2011,JUNE,55,Batman Arkham City,2,2.99,DC,31141
COMIC,2011,JUNE,56,Wonder Woman,611,2.99,DC,30874
COMIC,2011,JUNE,57,Wonder Woman,612,2.99,DC,30690
COMIC,2011,JUNE,58,"Flashpoint Frankenstein Creaturesof Unknown",1,2.99,DC,30508
COMIC,2011,JUNE,59,Avengers Childrens Crusade,6,3.99,Marvel,30467
COMIC,2011,JUNE,60,Fear Itself Spider-Man,2,2.99,Marvel,30238
COMIC,2011,JUNE,61,Flashpoint The Outsider,1,2.99,DC,30030
COMIC,2011,JUNE,62,Hulk,34,2.99,Marvel,29391
COMIC,2011,JUNE,63,"Green Lantern Movie Prequel HalJordan",1,2.99,DC,29245
COMIC,2011,JUNE,64,Carnage,5,3.99,Marvel,29106
COMIC,2011,JUNE,65,Birds of Prey,13,2.99,DC,28992
COMIC,2011,JUNE,66,Shield,1,3.99,Marvel,28718
COMIC,2011,JUNE,67,Hulk,35,2.99,Marvel,28539
COMIC,2011,JUNE,68,Batman Arkham City,3,2.99,DC,28443
COMIC,2011,JUNE,69,Thunderbolts,158,2.99,Marvel,28422
COMIC,2011,JUNE,70,Deadpool,39,2.99,Marvel,28400
COMIC,2011,JUNE,71,Red Robin,24,2.99,DC,28367
COMIC,2011,JUNE,72,Flashpoint Green Arrow Industries,1,2.99,DC,28358
COMIC,2011,JUNE,73,Fear Itself Deadpool,1,2.99,Marvel,28227
COMIC,2011,JUNE,74,Incredible Hulks,630,2.99,Marvel,28028
COMIC,2011,JUNE,75,New Mutants,26,2.99,Marvel,27848
COMIC,2011,JUNE,76,Deadpool,38,2.99,Marvel,27809
COMIC,2011,JUNE,77,Batman Gates of Gotham,2,2.99,DC,27777
COMIC,2011,JUNE,78,Superman Batman,85,2.99,DC,27581
COMIC,2011,JUNE,79,Green Arrow,13,2.99,DC,27552
COMIC,2011,JUNE,80,Thunderbolts,159,4.99,Marvel,27463
COMIC,2011,JUNE,81,Incredible Hulks,631,2.99,Marvel,27456
COMIC,2011,JUNE,82,X-Men Prelude To Schism,3,2.99,Marvel,27258
COMIC,2011,JUNE,83,Justice Society of America,52,2.99,DC,27195
COMIC,2011,JUNE,84,X-Men Prelude To Schism,4,2.99,Marvel,26565
COMIC,2011,JUNE,85,Avengers Academy,15,2.99,Marvel,26378
COMIC,2011,JUNE,86,Flashpoint Grodd of War,1,2.99,DC,26348
COMIC,2011,JUNE,87,Booster Gold,45,2.99,DC,26183
COMIC,2011,JUNE,88,Kirby Genesis,1,3.99,Dynamic Forces,26039
COMIC,2011,JUNE,89,X-23,11,2.99,Marvel,25985
COMIC,2011,JUNE,90,Fear Itself Home Front,3,3.99,Marvel,25738
COMIC,2011,JUNE,91,Green Lantern Movie Prequel Kilowog,1,2.99,DC,25496
COMIC,2011,JUNE,92,Incredible Hulks Annual,1,3.99,Marvel,25041
COMIC,2011,JUNE,93,X-Factor,220,2.99,Marvel,24926
COMIC,2011,JUNE,94,Green Lantern Movie Prequel Abin Sur,1,2.99,DC,24890
COMIC,2011,JUNE,95,Ghost Rider,0.1,2.99,Marvel,24830
COMIC,2011,JUNE,96,Green Lantern Movie Prequel Tomar Re,1,2.99,DC,24811
COMIC,2011,JUNE,97,Daken Dark Wolverine,10,2.99,Marvel,24724
COMIC,2011,JUNE,98,Batman Beyond,6,2.99,DC,24524
COMIC,2011,JUNE,99,X-Factor,221,2.99,Marvel,24502
COMIC,2011,JUNE,100,Superboy,8,2.99,DC,24037
COMIC,2011,JUNE,101,Teen Titans,96,2.99,DC,23849
COMIC,2011,JUNE,102,Avengers Academy,14.1,2.99,Marvel,23499
COMIC,2011,JUNE,103,Fear Itself Deep,1,2.99,Marvel,23467
COMIC,2011,JUNE,104,Batgirl,22,2.99,DC,23323
COMIC,2011,JUNE,105,Flashpoint The Canterbury Cricket,1,2.99,DC,22948
COMIC,2011,JUNE,106,Legion of Super Heroes,14,2.99,DC,22600
COMIC,2011,JUNE,107,Fear Itself Fearsome Four,1,2.99,Marvel,22418
COMIC,2011,JUNE,108,Captain America Corps,1,2.99,Marvel,22050
COMIC,2011,JUNE,109,Wolverine Best There Is,7,3.99,Marvel,22001
COMIC,2011,JUNE,110,Iron Age Alpha,1,2.99,Marvel,21671
COMIC,2011,JUNE,111,Annihilators,4,4.99,Marvel,21604
COMIC,2011,JUNE,112,Fear Itself Black Widow,1,3.99,Marvel,21340
COMIC,2011,JUNE,113,Gotham City Sirens,24,2.99,DC,21288
COMIC,2011,JUNE,114,Adventure Comics,527,2.99,DC,21211
COMIC,2011,JUNE,115,Marvel Universe Vs Wolverine,1,3.99,Marvel,21155
COMIC,2011,JUNE,116,Supergirl,65,2.99,DC,20985
COMIC,2011,JUNE,117,Hellboy The Fury,1,2.99,Dark Horse,20928
COMIC,2011,JUNE,118,Silver Surfer,5,2.99,Marvel,20686
COMIC,2011,JUNE,119,Fear Itself Youth In Revolt,2,2.99,Marvel,20376
COMIC,2011,JUNE,120,Black Panther Man Without Fear,519,2.99,Marvel,19883
COMIC,2011,JUNE,121,Iron Man 2.0,6,2.99,Marvel,19798
COMIC,2011,JUNE,122,Titans,36,2.99,DC,19780
COMIC,2011,JUNE,123,Secret Six,34,2.99,DC,19562
COMIC,2011,JUNE,124,Black Panther Man Without Fear,520,2.99,Marvel,19400
COMIC,2011,JUNE,125,Iron Age,1,4.99,Marvel,19135
COMIC,2011,JUNE,126,Generation Hope,8,2.99,Marvel,18883
COMIC,2011,JUNE,127,DC Universe Online Legends,9,2.99,DC,18759
COMIC,2011,JUNE,128,Fables,106,2.99,DC,18505
COMIC,2011,JUNE,129,Boys,55,3.99,Dynamic Forces,18330
COMIC,2011,JUNE,130,DC Universe Online Legends,10,2.99,DC,18178
COMIC,2011,JUNE,131,Herc,4,2.99,Marvel,18106
COMIC,2011,JUNE,132,Heroes For Hire,8,2.99,Marvel,18029
COMIC,2011,JUNE,133,Punishermax,14,3.99,Marvel,17965
COMIC,2011,JUNE,134,Zatanna,14,2.99,DC,17856
COMIC,2011,JUNE,135,Dark Tower Gunslinger Battle of Tull,1,3.99,Marvel,17667
COMIC,2011,JUNE,136,Star Wars Old Republic,1,3.5,Dark Horse,17642
COMIC,2011,JUNE,137,Power Girl,25,2.99,DC,17251
COMIC,2011,JUNE,138,JSA 80 Page Giant 2011,1,5.99,DC,17242
