PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2012,MARCH,1,Avengers Vs X-Men,1,3.99,Marvel,203181
COMIC,2012,MARCH,2,Avengers Vs X-Men,0,3.99,Marvel,134509
COMIC,2012,MARCH,3,Justice League,7,3.99,DC,131697
COMIC,2012,MARCH,4,Batman,7,2.99,DC,127402
COMIC,2012,MARCH,5,Avengers Assemble,1,3.99,Marvel,100883
COMIC,2012,MARCH,6,Action Comics,7,3.99,DC,91822
COMIC,2012,MARCH,7,Green Lantern,7,2.99,DC,90232
COMIC,2012,MARCH,8,Detective Comics,7,2.99,DC,89891
COMIC,2012,MARCH,9,Batman The Dark Knight,7,2.99,DC,75297
COMIC,2012,MARCH,10,Superman,7,2.99,DC,66588
COMIC,2012,MARCH,11,Flash,7,2.99,DC,64975
COMIC,2012,MARCH,12,Aquaman,7,2.99,DC,62345
COMIC,2012,MARCH,13,Batman And Robin,7*,2.99,DC,61209
COMIC,2012,MARCH,14,Uncanny X-Men,8,3.99,Marvel,57568
COMIC,2012,MARCH,15,Amazing Spider-Man,682,3.99,Marvel,57143
COMIC,2012,MARCH,16,Uncanny X-Men,9,3.99,Marvel,56976
COMIC,2012,MARCH,17,Age of Apocalypse,1,2.99,Marvel,56426
COMIC,2012,MARCH,18,Avengers X-Sanction,4,3.99,Marvel,55677
COMIC,2012,MARCH,19,Wolverine And X-Men,7,3.99,Marvel,54559
COMIC,2012,MARCH,20,Avengers,24,3.99,Marvel,52242
COMIC,2012,MARCH,21,Avengers,24.1,2.99,Marvel,52164
COMIC,2012,MARCH,22,Amazing Spider-Man,681,3.99,Marvel,52143
COMIC,2012,MARCH,23,New Avengers,23,3.99,Marvel,51697
COMIC,2012,MARCH,24,Teen Titans,7,2.99,DC,51402
COMIC,2012,MARCH,25,Wonder Woman,7,2.99,DC,51314
COMIC,2012,MARCH,26,Uncanny X-Force,23,3.99,Marvel,48867
COMIC,2012,MARCH,27,Green Lantern New Guardians,7,2.99,DC,48422
COMIC,2012,MARCH,28,Batwoman,7,2.99,DC,46874
COMIC,2012,MARCH,29,Ultimate Comics Spider-Man,8,3.99,Marvel,46290
COMIC,2012,MARCH,30,Batgirl,7*,2.99,DC,45685
COMIC,2012,MARCH,31,Nightwing,7*,2.99,DC,45440
COMIC,2012,MARCH,32,Kick-Ass 2,7,4.99,Marvel,45213
COMIC,2012,MARCH,33,Green Lantern Corps,7*,2.99,DC,43823
COMIC,2012,MARCH,34,Fantastic Four,604,3.99,Marvel,42126
COMIC,2012,MARCH,35,Captain America,9,3.99,Marvel,41631
COMIC,2012,MARCH,36,Avenging Spider-Man,5,3.99,Marvel,40877
COMIC,2012,MARCH,37,Incredible Hulk,6,3.99,Marvel,40522
COMIC,2012,MARCH,38,Swamp Thing,7,2.99,DC,40268
COMIC,2012,MARCH,39,Daredevil,10,2.99,Marvel,38137
COMIC,2012,MARCH,40,Saga,1*,2.99,Image,37641
COMIC,2012,MARCH,41,Red Lanterns,7*,2.99,DC,37465
COMIC,2012,MARCH,42,Wolverine,302,3.99,Marvel,37213
COMIC,2012,MARCH,43,FF,16,2.99,Marvel,37152
COMIC,2012,MARCH,44,Wolverine,303,3.99,Marvel,36368
COMIC,2012,MARCH,45,X-Men Legacy,263,2.99,Marvel,35999
COMIC,2012,MARCH,46,X-Men Legacy,264,2.99,Marvel,35953
COMIC,2012,MARCH,47,X-Men,26,3.99,Marvel,35833
COMIC,2012,MARCH,48,Catwoman,7*,2.99,DC,35647
COMIC,2012,MARCH,49,Winter Soldier,3,2.99,Marvel,34923
COMIC,2012,MARCH,50,Red Hood And The Outlaws,7*,2.99,DC,34767
COMIC,2012,MARCH,51,Supercrooks,1,2.99,Marvel,34673
COMIC,2012,MARCH,52,Astonishing X-Men,48,3.99,Marvel,34182
COMIC,2012,MARCH,53,Mighty Thor,12,3.99,Marvel,33967
COMIC,2012,MARCH,54,Walking Dead,95,2.99,Image,33916
COMIC,2012,MARCH,55,Supergirl,7*,2.99,DC,33337
COMIC,2012,MARCH,56,Animal Man,7*,2.99,DC,33174
COMIC,2012,MARCH,57,Scarlet Spider,3,2.99,Marvel,32616
COMIC,2012,MARCH,58,Justice League Dark,7*,2.99,DC,32480
COMIC,2012,MARCH,59,Ultimate Comics Ultimates,8,3.99,Marvel,32222
COMIC,2012,MARCH,60,Fairest,1,2.99,DC,31769
COMIC,2012,MARCH,61,Justice League International,7*,2.99,DC,31747
COMIC,2012,MARCH,62,Wolverine And X-Men Alpha And Omega,3,3.99,Marvel,31456
COMIC,2012,MARCH,63,Invincible Iron Man,514,3.99,Marvel,31424
COMIC,2012,MARCH,64,Ultimate Comics X-Men,9,3.99,Marvel,30080
COMIC,2012,MARCH,65,Defenders,4,3.99,Marvel,29789
COMIC,2012,MARCH,66,Superboy,7*,2.99,DC,29745
COMIC,2012,MARCH,67,Suicide Squad,7*,2.99,DC,29617
COMIC,2012,MARCH,68,Avengers Childrens Crusade,9,3.99,Marvel,29509
COMIC,2012,MARCH,69,Venom,14,2.99,Marvel,28926
COMIC,2012,MARCH,70,Buffy the Vampire Slayer Season 9 Freefall,7,2.99,Dark Horse,28908
COMIC,2012,MARCH,71,Carnage USA,4,3.99,Marvel,28707
COMIC,2012,MARCH,72,Deadpool,52,2.99,Marvel,27990
COMIC,2012,MARCH,73,Birds of Prey,7*,2.99,DC,26276
COMIC,2012,MARCH,74,Green Arrow,7*,2.99,DC,26104
COMIC,2012,MARCH,75,Captain America And Bucky,628,2.99,Marvel,24881
COMIC,2012,MARCH,76,Stormwatch,7,2.99,DC,24384
COMIC,2012,MARCH,77,X-Factor,233,2.99,Marvel,23840
COMIC,2012,MARCH,78,Fear Itself Fearless,10,2.99,Marvel,23629
COMIC,2012,MARCH,79,Batman Beyond Unlimited,2,3.99,DC,23570
COMIC,2012,MARCH,80,Fear Itself Fearless,11,2.99,Marvel,23211
COMIC,2012,MARCH,81,All Star Western,7*,3.99,DC,22814
COMIC,2012,MARCH,82,Punisher,9,2.99,Marvel,22318
COMIC,2012,MARCH,83,Avengers Academy,27,2.99,Marvel,21830
COMIC,2012,MARCH,84,Huntress,6,2.99,DC,21678
COMIC,2012,MARCH,85,Journey Into Mystery,635,2.99,Marvel,21617
COMIC,2012,MARCH,86,Moon Knight,11,3.99,Marvel,21581
COMIC,2012,MARCH,87,Hulk,49,2.99,Marvel,21510
COMIC,2012,MARCH,88,New Mutants,39,2.99,Marvel,21508
COMIC,2012,MARCH,89,Fatale,3*,3.5,Image,20222
COMIC,2012,MARCH,90,X-23,21,2.99,Marvel,20123
COMIC,2012,MARCH,91,Magic The Gathering,3,3.99,IDW,20078
COMIC,2012,MARCH,92,Marvels Avengers Prelude Furys Big Week,1,2.99,Marvel,19829
COMIC,2012,MARCH,93,Demon Knights,7*,2.99,DC,19800
COMIC,2012,MARCH,94,Legion of Super Heroes,7*,2.99,DC,19705
COMIC,2012,MARCH,95,Thunderbolts,171,2.99,Marvel,19073
COMIC,2012,MARCH,96,Secret Avengers,24,3.99,Marvel,18965
COMIC,2012,MARCH,97,Batwing,7*,2.99,DC,18952
COMIC,2012,MARCH,98,Teenage Mutant Ninja Turtles Ongoing,8,3.99,IDW,18775
COMIC,2012,MARCH,99,Batman Odyssey Vol. 2,6,3.99,DC,18330
COMIC,2012,MARCH,100,Star Wars Dawn of the Jedi Force Storm,2,3.5,Dark Horse,18118
COMIC,2012,MARCH,101,Marvels Avengers Prelude Furys Big Week,2,2.99,Marvel,17975
COMIC,2012,MARCH,102,Manhattan Projects,1,3.5,Image,17955
COMIC,2012,MARCH,103,Deathstroke,7*,2.99,DC,17770
COMIC,2012,MARCH,104,Angel & Faith,8,2.99,Dark Horse,17690
COMIC,2012,MARCH,105,Savage Hawkman,7*,2.99,DC,17490
COMIC,2012,MARCH,106,Generation Hope,17,2.99,Marvel,17412
COMIC,2012,MARCH,107,Fables,115,2.99,DC,17384
COMIC,2012,MARCH,108,Conan The Barbarian,2,3.5,Dark Horse,17288
COMIC,2012,MARCH,109,Frankenstein Agent of Shade,7*,2.99,DC,17002
COMIC,2012,MARCH,110,I Vampire,7*,2.99,DC,16596
COMIC,2012,MARCH,111,Boys,64,3.99,Dynamic Forces,16479
COMIC,2012,MARCH,112,Legion Lost,7*,2.99,DC,16393
COMIC,2012,MARCH,113,Daken Dark Wolverine,22,2.99,Marvel,16240
COMIC,2012,MARCH,114,Daken Dark Wolverine,23,2.99,Marvel,16202
