PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2012,SEPTEMBER,1,Avengers Vs X-Men,11,3.99,Marvel,167327
COMIC,2012,SEPTEMBER,2,Batman,0,3.99,DC,156561
COMIC,2012,SEPTEMBER,3,Justice League,0,3.99,DC,125868
COMIC,2012,SEPTEMBER,4,Green Lantern,0,2.99,DC,89909
COMIC,2012,SEPTEMBER,5,Detective Comics,0,3.99,DC,84063
COMIC,2012,SEPTEMBER,6,Action Comics,0,3.99,DC,78626
COMIC,2012,SEPTEMBER,7,Batman The Dark Knight,0,2.99,DC,72919
COMIC,2012,SEPTEMBER,8,Batman And Robin,0,2.99,DC,69146
COMIC,2012,SEPTEMBER,9,Earth 2,0,2.99,DC,69111
COMIC,2012,SEPTEMBER,10,Batman Incorporated,0,2.99,DC,66112
COMIC,2012,SEPTEMBER,11,Aquaman,0,2.99,DC,61227
COMIC,2012,SEPTEMBER,12,Superman,0,2.99,DC,60493
COMIC,2012,SEPTEMBER,13,Uncanny X-Men,18,3.99,Marvel,59794
COMIC,2012,SEPTEMBER,14,Amazing Spider-Man,693,3.99,Marvel,59772
COMIC,2012,SEPTEMBER,15,Avengers,30,3.99,Marvel,58609
COMIC,2012,SEPTEMBER,16,Amazing Spider-Man,694,3.99,Marvel,58461
COMIC,2012,SEPTEMBER,17,Flash,0,2.99,DC,56890
COMIC,2012,SEPTEMBER,18,New Avengers,30,3.99,Marvel,56742
COMIC,2012,SEPTEMBER,19,Wolverine And X-Men,16,3.99,Marvel,55857
COMIC,2012,SEPTEMBER,20,Before Watchmen Comedian,3,3.99,DC,55114
COMIC,2012,SEPTEMBER,21,Wolverine And X-Men,17,3.99,Marvel,54768
COMIC,2012,SEPTEMBER,22,Talon,0*,2.99,DC,53722
COMIC,2012,SEPTEMBER,23,Before Watchmen Silk Spectre,3,3.99,DC,53464
COMIC,2012,SEPTEMBER,24,Walking Dead,102*,2.99,Image,53337
COMIC,2012,SEPTEMBER,25,Before Watchmen Nite Owl,3,3.99,DC,53270
COMIC,2012,SEPTEMBER,26,Nightwing,0,2.99,DC,53109
COMIC,2012,SEPTEMBER,27,Spider-Men,5,3.99,Marvel,52525
COMIC,2012,SEPTEMBER,28,Before Watchmen Ozymandias,3,3.99,DC,52280
COMIC,2012,SEPTEMBER,29,Batgirl,0,2.99,DC,50441
COMIC,2012,SEPTEMBER,30,Wonder Woman,0,2.99,DC,49778
COMIC,2012,SEPTEMBER,31,Teen Titans,0,2.99,DC,47318
COMIC,2012,SEPTEMBER,32,Green Lantern Corps,0,2.99,DC,47309
COMIC,2012,SEPTEMBER,33,Green Lantern New Guardians,0,2.99,DC,46718
COMIC,2012,SEPTEMBER,34,Uncanny X-Force,31,3.99,Marvel,44061
COMIC,2012,SEPTEMBER,35,Worlds Finest,0,2.99,DC,42770
COMIC,2012,SEPTEMBER,36,Hit-Girl,3,2.99,Marvel,42678
COMIC,2012,SEPTEMBER,37,Batwoman,0,2.99,DC,41684
COMIC,2012,SEPTEMBER,38,Ultimate Comics Spider-Man,14,3.99,Marvel,40960
COMIC,2012,SEPTEMBER,39,Justice League,12,3.99,DC,40439
COMIC,2012,SEPTEMBER,40,Ultimate Comics Spider-Man,15,3.99,Marvel,40435
COMIC,2012,SEPTEMBER,41,Swamp Thing,0,2.99,DC,40123
COMIC,2012,SEPTEMBER,42,Red Hood And The Outlaws,0,2.99,DC,39511
COMIC,2012,SEPTEMBER,43,Wolverine,313,3.99,Marvel,39262
COMIC,2012,SEPTEMBER,44,Catwoman,0,2.99,DC,39117
COMIC,2012,SEPTEMBER,45,Red Lanterns,0,2.99,DC,38928
COMIC,2012,SEPTEMBER,46,Animal Man,0,2.99,DC,38295
COMIC,2012,SEPTEMBER,47,Avengers Assemble,7,3.99,Marvel,38259
COMIC,2012,SEPTEMBER,48,Daredevil,18,2.99,Marvel,37185
COMIC,2012,SEPTEMBER,49,Phantom Stranger,0*,2.99,DC,36093
COMIC,2012,SEPTEMBER,50,X-Men Legacy,273,2.99,Marvel,36020
COMIC,2012,SEPTEMBER,51,Secret Avengers,31,3.99,Marvel,35987
COMIC,2012,SEPTEMBER,52,Avenging Spider-Man,12,3.99,Marvel,35462
COMIC,2012,SEPTEMBER,53,Fantastic Four,610,2.99,Marvel,35388
COMIC,2012,SEPTEMBER,54,X-Men Legacy,274,2.99,Marvel,35168
COMIC,2012,SEPTEMBER,55,Supergirl,0,2.99,DC,34457
COMIC,2012,SEPTEMBER,56,Justice League Dark,0,2.99,DC,34287
COMIC,2012,SEPTEMBER,57,Captain America,17,3.99,Marvel,34279
COMIC,2012,SEPTEMBER,58,Incredible Hulk,14,3.99,Marvel,33887
COMIC,2012,SEPTEMBER,59,Incredible Hulk,13,3.99,Marvel,33858
COMIC,2012,SEPTEMBER,60,Hawkeye,2,2.99,Marvel,33563
COMIC,2012,SEPTEMBER,61,Happy,1,2.99,Image,32977
COMIC,2012,SEPTEMBER,62,X-Men,35,3.99,Marvel,32049
COMIC,2012,SEPTEMBER,63,X-Men,36,3.99,Marvel,31996
COMIC,2012,SEPTEMBER,64,Suicide Squad,0,2.99,DC,31875
COMIC,2012,SEPTEMBER,65,Superboy,0,2.99,DC,31840
COMIC,2012,SEPTEMBER,66,First X-Men,2,3.99,Marvel,31415
COMIC,2012,SEPTEMBER,67,Team 7,0*,2.99,DC,31053
COMIC,2012,SEPTEMBER,68,Invincible Iron Man,524,3.99,Marvel,30976
COMIC,2012,SEPTEMBER,69,Invincible Iron Man,525,3.99,Marvel,30885
COMIC,2012,SEPTEMBER,70,Birds of Prey,0,2.99,DC,30574
COMIC,2012,SEPTEMBER,71,Ultimate Comics Ultimates,16,3.99,Marvel,30533
COMIC,2012,SEPTEMBER,72,Ultimate Comics Ultimates,15,3.99,Marvel,30382
COMIC,2012,SEPTEMBER,73,Mighty Thor,19,3.99,Marvel,30289
COMIC,2012,SEPTEMBER,74,Astonishing X-Men,54,3.99,Marvel,30225
COMIC,2012,SEPTEMBER,75,Mighty Thor,20,3.99,Marvel,30172
COMIC,2012,SEPTEMBER,76,Venom,24,2.99,Marvel,30080
COMIC,2012,SEPTEMBER,77,FF,22,2.99,Marvel,29847
COMIC,2012,SEPTEMBER,78,Deadpool,60,2.99,Marvel,28548
COMIC,2012,SEPTEMBER,79,Gambit,3,2.99,Marvel,28530
COMIC,2012,SEPTEMBER,80,Green Arrow,0,2.99,DC,28408
COMIC,2012,SEPTEMBER,81,Deadpool,61,2.99,Marvel,28351
COMIC,2012,SEPTEMBER,82,Scarlet Spider,9,2.99,Marvel,27140
COMIC,2012,SEPTEMBER,83,Ultimate Comics X-Men,16,3.99,Marvel,27066
COMIC,2012,SEPTEMBER,84,Sword of Sorcery,0*,3.99,DC,26959
COMIC,2012,SEPTEMBER,85,Buffy the Vampire Slayer Season 9 Freefall,13,2.99,Dark Horse,25864
COMIC,2012,SEPTEMBER,86,Winter Soldier,10,2.99,Marvel,25811
COMIC,2012,SEPTEMBER,87,All Star Western,0,3.99,DC,25388
COMIC,2012,SEPTEMBER,88,Winter Soldier,11,2.99,Marvel,25310
COMIC,2012,SEPTEMBER,89,Venom,25,2.99,Marvel,25242
COMIC,2012,SEPTEMBER,90,Captain Marvel,4,2.99,Marvel,24799
COMIC,2012,SEPTEMBER,91,X-Treme X-Men,3,2.99,Marvel,24490
COMIC,2012,SEPTEMBER,92,Dial H,0,2.99,DC,24070
COMIC,2012,SEPTEMBER,93,Avengers Academy,36,2.99,Marvel,23822
COMIC,2012,SEPTEMBER,94,X-O Manowar,5,3.99,Valiant,23800
COMIC,2012,SEPTEMBER,95,Dark Avengers,180,2.99,Marvel,23761
COMIC,2012,SEPTEMBER,96,Age of Apocalypse,7,2.99,Marvel,23618
COMIC,2012,SEPTEMBER,97,Dark Avengers,181,2.99,Marvel,23044
COMIC,2012,SEPTEMBER,98,Avengers Academy,37,2.99,Marvel,23027
COMIC,2012,SEPTEMBER,99,X-Treme X-Men,4,2.99,Marvel,22584
COMIC,2012,SEPTEMBER,100,Ravagers,0,2.99,DC,22437
COMIC,2012,SEPTEMBER,101,X-Factor,244,2.99,Marvel,22193
