PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2014,SEPTEMBER,1,Death of Wolverine,1,4.99,Marvel,261975
COMIC,2014,SEPTEMBER,2,Death of Wolverine,2,4.99,Marvel,129999
COMIC,2014,SEPTEMBER,3,Batman Futures End,1,3.99,DC,127823
COMIC,2014,SEPTEMBER,4,Harley Quinn Futures End,1,3.99,DC,105382
COMIC,2014,SEPTEMBER,5,Amazing Spider-Man,6,3.99,Marvel,93564
COMIC,2014,SEPTEMBER,6,Justice League Futures End,1,3.99,DC,92615
COMIC,2014,SEPTEMBER,7,Original Sin,8,4.99,Marvel,90478
COMIC,2014,SEPTEMBER,8,Detective Comics Futures End,1,3.99,DC,85284
COMIC,2014,SEPTEMBER,9,Justice League,33,3.99,DC,79447
COMIC,2014,SEPTEMBER,10,Batman Superman Futures End,1,3.99,DC,77459
COMIC,2014,SEPTEMBER,11,Batman And Robin Futures End,1,3.99,DC,74129
COMIC,2014,SEPTEMBER,12,Superior Spider-Man,33,4.99,Marvel,72894
COMIC,2014,SEPTEMBER,13,Walking Dead,131,2.99,Image,69810
COMIC,2014,SEPTEMBER,14,Superman Futures End,1,3.99,DC,68860
COMIC,2014,SEPTEMBER,15,Green Lantern Futures End,1,3.99,DC,68370
COMIC,2014,SEPTEMBER,16,Superman Wonder Woman Futures End,1,3.99,DC,68271
COMIC,2014,SEPTEMBER,17,Grayson Futures End,1,3.99,DC,67109
COMIC,2014,SEPTEMBER,18,Action Comics Futures End,1,3.99,DC,65632
COMIC,2014,SEPTEMBER,19,Multiversity The Society of Super-Heroes,1,4.99,DC,65022
COMIC,2014,SEPTEMBER,20,New Suicide Squad Futures End,1,3.99,DC,64884
COMIC,2014,SEPTEMBER,21,Justice League United Futures End,1,3.99,DC,64057
COMIC,2014,SEPTEMBER,22,Amazing Spider-Man,1.5,3.99,Marvel,63986
COMIC,2014,SEPTEMBER,23,Superman Unchained,8,3.99,DC,62815
COMIC,2014,SEPTEMBER,24,Flash Futures End,1,3.99,DC,61637
COMIC,2014,SEPTEMBER,25,Wonder Woman Futures End,1,3.99,DC,61174
COMIC,2014,SEPTEMBER,26,Batgirl Futures End,1,3.99,DC,59563
COMIC,2014,SEPTEMBER,27,Edge of Spider-Verse,1,3.99,Marvel,59237
COMIC,2014,SEPTEMBER,28,Uncanny X-Men,25,4.99,Marvel,58062
COMIC,2014,SEPTEMBER,29,Deadpool,34,4.99,Marvel,58034
COMIC,2014,SEPTEMBER,30,Aquaman Futures End,1,3.99,DC,57042
COMIC,2014,SEPTEMBER,31,Batman Eternal,22,2.99,DC,56793
COMIC,2014,SEPTEMBER,32,Earth 2 Futures End,1,3.99,DC,56675
COMIC,2014,SEPTEMBER,33,Saga,23,2.99,Image,56162
COMIC,2014,SEPTEMBER,34,Batman Eternal,23,2.99,DC,56152
COMIC,2014,SEPTEMBER,35,Batman Eternal,24,2.99,DC,56002
COMIC,2014,SEPTEMBER,36,Guardians of Galaxy,19,3.99,Marvel,55891
COMIC,2014,SEPTEMBER,37,Batman Eternal,25,2.99,DC,55662
COMIC,2014,SEPTEMBER,38,Teen Titans Futures End,1,3.99,DC,54951
COMIC,2014,SEPTEMBER,39,All New X-Men,32,3.99,Marvel,54654
COMIC,2014,SEPTEMBER,40,Edge of Spider-Verse,2,3.99,Marvel,54415
COMIC,2014,SEPTEMBER,41,Green Arrow Futures End,1,3.99,DC,54198
COMIC,2014,SEPTEMBER,42,Sinestro Futures End,1,3.99,DC,53304
COMIC,2014,SEPTEMBER,43,Thor God of Thunder,25,4.99,Marvel,53047
COMIC,2014,SEPTEMBER,44,Rocket Raccoon,3,3.99,Marvel,52288
COMIC,2014,SEPTEMBER,45,Uncanny X-Men,26,3.99,Marvel,51862
COMIC,2014,SEPTEMBER,46,Edge of Spider-Verse,3,3.99,Marvel,51530
COMIC,2014,SEPTEMBER,47,Justice League Dark Futures End,1,3.99,DC,51128
COMIC,2014,SEPTEMBER,48,Green Lantern Corps Futures End,1,3.99,DC,51011
COMIC,2014,SEPTEMBER,49,Avengers,35,4.99,Marvel,50629
COMIC,2014,SEPTEMBER,50,Booster Gold Futures End,1,3.99,DC,49913
COMIC,2014,SEPTEMBER,51,Catwoman Futures End,1,3.99,DC,49912
COMIC,2014,SEPTEMBER,52,Uncanny Avengers,24,3.99,Marvel,49469
COMIC,2014,SEPTEMBER,53,Superman Doomed,2,4.99,DC,49044
COMIC,2014,SEPTEMBER,54,Red Lanterns Futures End,1,3.99,DC,48939
COMIC,2014,SEPTEMBER,55,Green Lantern New Guardians Futures End,1,3.99,DC,48809
COMIC,2014,SEPTEMBER,56,Supergirl Futures End,1,3.99,DC,48597
COMIC,2014,SEPTEMBER,57,Worlds Finest Futures End,1,3.99,DC,48207
COMIC,2014,SEPTEMBER,58,Red Hood and the Outlaws Futures End,1,3.99,DC,48002
COMIC,2014,SEPTEMBER,59,Aquaman and the Others Futures End,1,3.99,DC,46549
COMIC,2014,SEPTEMBER,60,Avengers,34.1,4.99,Marvel,45942
COMIC,2014,SEPTEMBER,61,Outcast By Kirkman & Azaceta,4,2.99,Image,45401
COMIC,2014,SEPTEMBER,62,Constantine Futures End,1,3.99,DC,45392
COMIC,2014,SEPTEMBER,63,Swamp Thing Futures End,1,3.99,DC,45303
COMIC,2014,SEPTEMBER,64,New Avengers,24,4.99,Marvel,45123
COMIC,2014,SEPTEMBER,65,Batwoman Futures End,1,3.99,DC,44428
COMIC,2014,SEPTEMBER,66,Deadpool,35,3.99,Marvel,43554
COMIC,2014,SEPTEMBER,67,Spider-Man 2099,3,3.99,Marvel,43418
COMIC,2014,SEPTEMBER,68,Original Sin,5.5,3.99,Marvel,43399
COMIC,2014,SEPTEMBER,69,Superboy Futures End,1,3.99,DC,42971
COMIC,2014,SEPTEMBER,70,Hawkeye Vs Deadpool,0,4.99,Marvel,42960
COMIC,2014,SEPTEMBER,71,Birds of Prey Futures End,1,3.99,DC,42894
COMIC,2014,SEPTEMBER,72,Infinity Man and the Forever People Futures End,1,3.99,DC,39280
COMIC,2014,SEPTEMBER,73,New 52 Futures End,18,2.99,DC,38778
COMIC,2014,SEPTEMBER,74,Trinity of Sin Phantom Stranger Futures End,1,3.99,DC,38729
COMIC,2014,SEPTEMBER,75,Deadpool Bi-Annual,1,4.99,Marvel,38709
COMIC,2014,SEPTEMBER,76,Trinity of Sin Pandora Futures End,1,3.99,DC,38562
COMIC,2014,SEPTEMBER,77,New 52 Futures End,19,2.99,DC,38377
COMIC,2014,SEPTEMBER,78,New 52 Futures End,20,2.99,DC,37990
COMIC,2014,SEPTEMBER,79,New 52 Futures End,21,2.99,DC,37861
COMIC,2014,SEPTEMBER,80,Star Spangled War Stories Gi Zombie Futures End,1,3.99,DC,37757
COMIC,2014,SEPTEMBER,81,Daredevil,8,3.99,Marvel,37739
COMIC,2014,SEPTEMBER,82,Batwing Futures End,1,3.99,DC,37389
COMIC,2014,SEPTEMBER,83,Deadpool Vs X-Force,4,3.99,Marvel,35748
COMIC,2014,SEPTEMBER,84,Moon Knight,7,3.99,Marvel,35630
COMIC,2014,SEPTEMBER,85,Amazing X-Men,11,3.99,Marvel,34552
COMIC,2014,SEPTEMBER,86,Hawkeye,20,3.99,Marvel,34169
COMIC,2014,SEPTEMBER,87,Miles Morales Ultimate Spider-Man,5,3.99,Marvel,34140
COMIC,2014,SEPTEMBER,88,X-Men,19,3.99,Marvel,33737
COMIC,2014,SEPTEMBER,89,Captain America,24,3.99,Marvel,33517
COMIC,2014,SEPTEMBER,90,Hulk,6,3.99,Marvel,33032
COMIC,2014,SEPTEMBER,91,Legendary Star Lord,3,3.99,Marvel,32918
COMIC,2014,SEPTEMBER,92,Inhuman,5,3.99,Marvel,32719
COMIC,2014,SEPTEMBER,93,Ms Marvel,8,2.99,Marvel,32182
COMIC,2014,SEPTEMBER,94,Magneto,9,3.99,Marvel,31563
COMIC,2014,SEPTEMBER,95,Magneto,10,3.99,Marvel,30769
COMIC,2014,SEPTEMBER,96,Inhuman,6,3.99,Marvel,30761
COMIC,2014,SEPTEMBER,97,Wolverine And X-Men,9,3.99,Marvel,28965
COMIC,2014,SEPTEMBER,98,Fantastic Four,10,3.99,Marvel,28118
COMIC,2014,SEPTEMBER,99,Hulk Annual,1,4.99,Marvel,27255
COMIC,2014,SEPTEMBER,100,Wicked & Divine,4,3.5,Image,25668
COMIC,2014,SEPTEMBER,101,East of West,15,3.5,Image,25593
COMIC,2014,SEPTEMBER,102,Loki Agent of Asgard,6,3.99,Marvel,25131
COMIC,2014,SEPTEMBER,103,George Perez Sirens,1,3.99,Boom,24900
COMIC,2014,SEPTEMBER,104,Low,3*,3.5,Image,24308
