PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2001,JULY,1,New X-Men,116,2.25,Marvel,136249
COMIC,2001,JULY,2,Uncanny X-Men,396,2.25,Marvel,132705
COMIC,2001,JULY,3,Ultimate X-Men,8,2.25,Marvel,112348
COMIC,2001,JULY,4,X-Treme X-Men,3,2.99,Marvel,110746
COMIC,2001,JULY,5,New X-Men 2001 Annual,,3.5,Marvel,91110
COMIC,2001,JULY,6,Green Arrow,6,2.5,DC,90704
COMIC,2001,JULY,7,Amazing Spider-Man,33,2.25,Marvel,89813
COMIC,2001,JULY,8,Punisher,2,2.99,Marvel,89486
COMIC,2001,JULY,9,Ultimate Spider-Man,11,2.25,Marvel,89478
COMIC,2001,JULY,10,Elektra,1,3.5,Marvel,86694
COMIC,2001,JULY,11,Wolverine,166,2.99,Marvel,80069
COMIC,2001,JULY,12,JLA,56,2.25,DC,78649
COMIC,2001,JULY,13,Avengers,44,2.25,Marvel,70670
COMIC,2001,JULY,14,Daredevil Yellow,2 (Res),3.5,Marvel,70150
COMIC,2001,JULY,15,Ultimate Marvel Team Up,6,2.25,Marvel,65703
COMIC,2001,JULY,17,Daredevil,20,3.5,Marvel,61926
COMIC,2001,JULY,18,Daredevil,21,2.99,Marvel,61263
COMIC,2001,JULY,19,JLA Our Worlds At War,1,2.95,DC,59157
COMIC,2001,JULY,20,Exiles,2,2.25,Marvel,59139
COMIC,2001,JULY,21,Brotherhood,3,2.25,Marvel,58728
COMIC,2001,JULY,22,Peter Parker Spider-Man,33,2.25,Marvel,58400
COMIC,2001,JULY,23,Fantastic Four,45,2.25,Marvel,58346
COMIC,2001,JULY,24,Spawn,112,2.5,Image,57190
COMIC,2001,JULY,25,X-Force,118,2.25,Marvel,54209
COMIC,2001,JULY,26,Superman,172,2.25,DC,52682
COMIC,2001,JULY,27,Fantastic Four 1234,1,2.99,Marvel,52165
COMIC,2001,JULY,28,Avengers 2001 Annual,,2.99,Marvel,51544
COMIC,2001,JULY,29,Batman,593,2.25,DC,49277
COMIC,2001,JULY,30,Witchblade,50,4.95,Image,48875
COMIC,2001,JULY,31,Adventures Of Superman,594,2.25,DC,48812
COMIC,2001,JULY,32,X-Men Unlimited,32,2.99,Marvel,48407
