PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2001,JUNE,1,New X-Men,115,2.25,Marvel,142308
COMIC,2001,JUNE,2,Uncanny X-Men,395,2.25,Marvel,139359
COMIC,2001,JUNE,3,X-Treme X-Men,2,2.99,Marvel,122269
COMIC,2001,JUNE,4,Ultimate X-Men,7,2.25,Marvel,107741
COMIC,2001,JUNE,5,Punisher,1,2.99,Marvel,91944
COMIC,2001,JUNE,6,Green Arrow,5,2.5,DC,88063
COMIC,2001,JUNE,7,Ultimate Spider-Man,10,2.25,Marvel,86350
COMIC,2001,JUNE,8,Amazing Spider-Man,32,2.25,Marvel,82329
COMIC,2001,JUNE,9,JLA,55,2.25,DC,75548
COMIC,2001,JUNE,10,Daredevil Yellow,1 (Res),3.5,Marvel,74762
COMIC,2001,JUNE,11,Wolverine,165,2.25,Marvel,73153
COMIC,2001,JUNE,12,Avengers,43,2.25,Marvel,69128
COMIC,2001,JUNE,13,Battle Chasers,9,3.5,Image,68772
COMIC,2001,JUNE,14,Brotherhood,2,2.25,Marvel,68447
COMIC,2001,JUNE,15,Daredevil,19,2.99,Marvel,62321
COMIC,2001,JUNE,16,Ultimate Marvel Team Up,5,2.25,Marvel,60445
COMIC,2001,JUNE,17,Exiles,1,2.99,Marvel,59786
COMIC,2001,JUNE,18,Spawn,111,2.5,Image,55444
COMIC,2001,JUNE,19,Fantastic Four,44,2.25,Marvel,55176
COMIC,2001,JUNE,20,Peter Parker Spider-Man,32,2.25,Marvel,54851
COMIC,2001,JUNE,21,Ghost Rider Hammer Lane,1,2.99,Marvel,53212
COMIC,2001,JUNE,22,Superman,171,2.25,DC,51674
COMIC,2001,JUNE,23,X-Force,117,2.25,Marvel,47596
COMIC,2001,JUNE,24,Tangled Web The Thousand,3,2.99,Marvel,46629
COMIC,2001,JUNE,25,Adventures Of Superman,593,2.25,DC,45864
COMIC,2001,JUNE,26,Action Comics,780,2.25,DC,45693
COMIC,2001,JUNE,27,Universe X,11,3.5,Marvel,45170
COMIC,2001,JUNE,28,Superman The Man Of Steel,115,2.25,DC,44831
COMIC,2001,JUNE,29,Authority,23 (Res),2.5,DC,44700
COMIC,2001,JUNE,30,JSA,25,3.75,DC,44172
COMIC,2001,JUNE,31,Batman,592,2.25,DC,43944
COMIC,2001,JUNE,32,Batman Our Worlds At War,1,2.95,DC,43944
COMIC,2001,JUNE,33,Thor,38,2.25,Marvel,43170
COMIC,2001,JUNE,34,Detective Comics,759,2.5,DC,43021
COMIC,2001,JUNE,35,JLA Incarnations,2,3.5,DC,40591
COMIC,2001,JUNE,36,Tomb Raider,14,2.5,Image,39796
COMIC,2001,JUNE,37,Green Lantern Our Worlds At War,1,2.95,DC,39787
COMIC,2001,JUNE,38,Captain America,44,2.25,Marvel,39629
COMIC,2001,JUNE,39,Iron Man,43,2.25,Marvel,39484
COMIC,2001,JUNE,40,Batgirl,17,2.5,DC,39440
COMIC,2001,JUNE,41,Nightwing,58,2.25,DC,38745
COMIC,2001,JUNE,42,Thunderbolts,53,2.25,Marvel,37849
COMIC,2001,JUNE,43,Tomb Raider,0,2.5,Image,37502
COMIC,2001,JUNE,44,Incredible Hulk,29,2.25,Marvel,36996
COMIC,2001,JUNE,45,Green Lantern,139,2.25,DC,36552
COMIC,2001,JUNE,46,Fathom Killian,3,2.95,Image,36416
COMIC,2001,JUNE,47,Cable,94,2.25,Marvel,36210
COMIC,2001,JUNE,48,Batman Gotham Knights,18,2.5,DC,35335
COMIC,2001,JUNE,49,Batman Legends of the Dark Knight,144,2.25,DC,35212
COMIC,2001,JUNE,50,Just A Pilgrim,4,2.99,Wizard,35177
COMIC,2001,JUNE,51,Young Justice Our Worlds At War,1,2.95,DC,34329
COMIC,2001,JUNE,52,JLA Black Baptism,4,2.5,DC,33468
COMIC,2001,JUNE,53,Wonder Woman,171,2.25,DC,33235
COMIC,2001,JUNE,54,Witchblade,49,2.5,Image,33024
COMIC,2001,JUNE,55,Defenders,6,2.25,Marvel,31459
COMIC,2001,JUNE,56,"Superman Our Worlds At War SecretFiles",1,5.95,DC,31108
COMIC,2001,JUNE,57,Out There,2,2.5,DC,31042
COMIC,2001,JUNE,58,Marvel Knights,14,2.99,Marvel,30739
COMIC,2001,JUNE,59,Titans,30,2.5,DC,30418
COMIC,2001,JUNE,60,Harley Quinn,9,2.25,DC,30268
COMIC,2001,JUNE,61,Spectre,6,2.5,DC,30110
COMIC,2001,JUNE,62,Vampirella Nowheresville,1,2.95,Harris,29302
COMIC,2001,JUNE,63,Robin,91,2.25,DC,29126
COMIC,2001,JUNE,64,Flash,175,2.25,DC,28933
COMIC,2001,JUNE,65,Powers,13,2.95,Image,28880
COMIC,2001,JUNE,66,X-Men The Hidden Years,21,2.5,Marvel,27663
COMIC,2001,JUNE,67,JLA Gods And Monsters,,6.95,DC,27192
COMIC,2001,JUNE,68,Captain Marvel,20,2.5,Marvel,27131
COMIC,2001,JUNE,69,Young Justice,34,2.5,DC,26766
COMIC,2001,JUNE,70,Deadpool,55,2.25,Marvel,26564
COMIC,2001,JUNE,71,Supergirl,59,2.25,DC,26270
COMIC,2001,JUNE,72,Spider-Girl,35,2.25,Marvel,26098
COMIC,2001,JUNE,73,Star Wars Infinities A New Hope,2,2.99,Dark Horse,25593
COMIC,2001,JUNE,74,Birds Of Prey,32,2.5,DC,25479
COMIC,2001,JUNE,75,Ministry Of Space,2,2.95,Image,25465
COMIC,2001,JUNE,76,Star Wars Jedi Vs Sith,3,2.99,Dark Horse,25101
