PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2002,OCTOBER,1,Batman,608,2.25,DC,120945
COMIC,2002,OCTOBER,2,Ultimates,9,2.25,Marvel,110000
COMIC,2002,OCTOBER,3,Transformers War Within,1,2.95,Dreamwave,106468
COMIC,2002,OCTOBER,4,New X-Men,133,2.25,Marvel,104932
COMIC,2002,OCTOBER,5,Amazing Spider-Man,46,2.25,Marvel,104835
COMIC,2002,OCTOBER,6,Ultimate Spider-Man,28,2.25,Marvel,98522
COMIC,2002,OCTOBER,7,Ultimate Spider-Man,29,2.25,Marvel,98365
COMIC,2002,OCTOBER,8,Ultimate X-Men,23,2.25,Marvel,96333
COMIC,2002,OCTOBER,9,"Spider-Man Black Cat Evil That MenDo",5,2.99,Marvel,95160
COMIC,2002,OCTOBER,10,Uncanny X-Men,414,2.25,Marvel,89536
COMIC,2002,OCTOBER,11,Transformers Armada,4,2.95,Dreamwave,87468
COMIC,2002,OCTOBER,12,Thundercats,3,2.95,DC,74212
COMIC,2002,OCTOBER,13,G.I. Joe Frontline,1,2.95,Image,73099
COMIC,2002,OCTOBER,14,Wolverine,182,2.25,Marvel,70535
COMIC,2002,OCTOBER,15,Spider-Man Blue,6,3.5,Marvel,68552
COMIC,2002,OCTOBER,16,X-Treme X-Men,19,2.99,Marvel,68189
COMIC,2002,OCTOBER,17,Captain America,6 (Res),2.99,Marvel,65141
COMIC,2002,OCTOBER,18,JLA,73,2.25,DC,64561
COMIC,2002,OCTOBER,19,JLA,74,2.25,DC,64343
COMIC,2002,OCTOBER,20,G.I. Joe,11,2.95,Image,63569
COMIC,2002,OCTOBER,21,Spider-Man Peter Parker,49,2.25,Marvel,60400
COMIC,2002,OCTOBER,22,Green Arrow,18,2.5,DC,57679
COMIC,2002,OCTOBER,23,Avengers,59,2.25,Marvel,57522
COMIC,2002,OCTOBER,24,Daredevil,38,2.99,Marvel,56965
COMIC,2002,OCTOBER,25,Fantastic Four,62,2.25,Marvel,55417
COMIC,2002,OCTOBER,26,Battle of the Planets,4,2.99,Image,54147
COMIC,2002,OCTOBER,27,Incredible Hulk,46,2.25,Marvel,53772
COMIC,2002,OCTOBER,28,"League Of Extraordinary GentlemenVol. II",4,3.5,DC,51704
COMIC,2002,OCTOBER,29,Punisher,17 (Res),2.99,Marvel,48705
COMIC,2002,OCTOBER,30,Punisher,18,2.99,Marvel,47350
COMIC,2002,OCTOBER,31,JSA,41,2.5,DC,44762
COMIC,2002,OCTOBER,32,Detective Comics,775,3.5,DC,44363
COMIC,2002,OCTOBER,33,Weapon X,2,2.25,Marvel,44121
COMIC,2002,OCTOBER,34,Spawn,127,2.5,Image,42428
COMIC,2002,OCTOBER,35,X-Statix,4,2.25,Marvel,41775
COMIC,2002,OCTOBER,36,Green Lantern,155,2.25,DC,41738
COMIC,2002,OCTOBER,37,Exiles,18,2.25,Marvel,40444
COMIC,2002,OCTOBER,38,Thor,55,2.25,Marvel,39295
COMIC,2002,OCTOBER,39,Mekanix,1,2.99,Marvel,38049
COMIC,2002,OCTOBER,40,Wolverine Netsuke,2,3.99,Marvel,37904
COMIC,2002,OCTOBER,41,Iron Man,60,2.25,Marvel,37892
COMIC,2002,OCTOBER,42,Superman,187,2.25,DC,37711
COMIC,2002,OCTOBER,43,Hawkman,8,2.5,DC,37312
COMIC,2002,OCTOBER,44,Batman Gotham Knights,34,2.75,DC,36453
COMIC,2002,OCTOBER,45,Action Comics,796,2.25,DC,36138
COMIC,2002,OCTOBER,46,Spider-Man Legend of the Spider Clan,1,2.25,Marvel,35038
COMIC,2002,OCTOBER,47,Batgirl,33,2.5,DC,34977
COMIC,2002,OCTOBER,48,Paradise X,6,2.99,Marvel,34736
COMIC,2002,OCTOBER,49,Adventures Of Superman,609,2.25,DC,34602
COMIC,2002,OCTOBER,50,Captain Marvel,2,2.25,Marvel,34131
COMIC,2002,OCTOBER,51,Superman Man Of Steel,131,2.25,DC,33877
COMIC,2002,OCTOBER,52,Tomb Raider,25,2.99,Image,33333
COMIC,2002,OCTOBER,53,Agent X,4,2.25,Marvel,33308
COMIC,2002,OCTOBER,54,Nightwing,74,2.25,DC,33224
COMIC,2002,OCTOBER,55,Witchblade,60,2.99,Image,32244
COMIC,2002,OCTOBER,56,Youngblood Bloodsport,1,2.99,Arcade,32159
COMIC,2002,OCTOBER,57,Flash,191,2.25,DC,31349
COMIC,2002,OCTOBER,58,Elektra,15,2.99,Marvel,30527
COMIC,2002,OCTOBER,59,Ultimate Adventures,2,2.25,Marvel,30394
COMIC,2002,OCTOBER,60,Alias,15,2.99,Marvel,29825
COMIC,2002,OCTOBER,61,Green Arrow Secret Files,1,4.95,DC,29801
COMIC,2002,OCTOBER,62,"Ghost In The Shell 2 Man MachineInterface",1,3.99,Dark Horse,29378
COMIC,2002,OCTOBER,63,Thunderbolts,73,2.25,Marvel,29281
COMIC,2002,OCTOBER,64,Batman Legends of the Dark Knight,160,2.5,DC,29257
COMIC,2002,OCTOBER,65,Global Frequency,1,2.95,DC,29220
COMIC,2002,OCTOBER,66,Marville,2,2.25,Marvel,29172
COMIC,2002,OCTOBER,67,Shang Chi Master Of Kung Fu,2,2.99,Marvel,28870
COMIC,2002,OCTOBER,68,Birds Of Prey,48,2.5,DC,28858
COMIC,2002,OCTOBER,69,Killraven,1,2.99,Marvel,28688
COMIC,2002,OCTOBER,70,Soldier X,4,2.25,Marvel,28628
COMIC,2002,OCTOBER,71,Catwoman,12,2.5,DC,28374
COMIC,2002,OCTOBER,72,Micronauts,3,2.95,Image,27443
COMIC,2002,OCTOBER,73,"Star Wars Infinities Empire StrikesBack",4,2.99,Dark Horse,27334
COMIC,2002,OCTOBER,74,Spider-Man Tangled Web,19,2.99,Marvel,27322
COMIC,2002,OCTOBER,75,Spider-Girl,52,2.25,Marvel,26644
COMIC,2002,OCTOBER,76,Filth,5,2.95,DC,26620
COMIC,2002,OCTOBER,77,Spider-Man Get Kraven,5,2.25,Marvel,26463
COMIC,2002,OCTOBER,78,Robin,107,2.25,DC,26257
COMIC,2002,OCTOBER,79,Legion,13,2.5,DC,25906
COMIC,2002,OCTOBER,80,Call Of Duty Brotherhood,5,2.25,Marvel,25532
COMIC,2002,OCTOBER,81,Sojourn,16,2.95,Crossgen,25519
COMIC,2002,OCTOBER,82,Young Justice,50,3.95,DC,25495
COMIC,2002,OCTOBER,83,Star Wars Empire,2,2.99,Dark Horse,25241
COMIC,2002,OCTOBER,84,Wonder Woman,186,2.25,DC,24987
COMIC,2002,OCTOBER,85,Gen 13,2,2.95,DC,24975
COMIC,2002,OCTOBER,86,Titans,46,2.75,DC,23173
COMIC,2002,OCTOBER,87,Call Of Duty Precinct,4,2.25,Marvel,23173
COMIC,2002,OCTOBER,88,Supergirl,75,2.5,DC,22968
COMIC,2002,OCTOBER,89,Avengers Icons Vision,3,2.99,Marvel,22931
COMIC,2002,OCTOBER,90,X-Men Icons Chamber,3,2.99,Marvel,22738
COMIC,2002,OCTOBER,91,Call Of Duty Wagon,3,2.25,Marvel,22532
COMIC,2002,OCTOBER,92,Ruse,12,2.95,Crossgen,21686
COMIC,2002,OCTOBER,93,Ruse,13,2.95,Crossgen,21565
COMIC,2002,OCTOBER,94,Harley Quinn,25,2.5,DC,21407
COMIC,2002,OCTOBER,95,Star Wars Republic,47,2.99,Dark Horse,21371
COMIC,2002,OCTOBER,96,Fables,6,2.5,DC,21214
COMIC,2002,OCTOBER,97,Liberty Meadows,28,2.95,Image,21008
COMIC,2002,OCTOBER,98,Black Panther,50,2.5,Marvel,20778
COMIC,2002,OCTOBER,99,Tomb Raider Journeys,7,2.99,Image,20706
COMIC,2002,OCTOBER,100,Out There,14,2.95,DC,20283
COMIC,2002,OCTOBER,101,Way of the Rat,6,2.95,Crossgen,19871
COMIC,2002,OCTOBER,102,Tom Strongs Terrific Tales,5,2.95,DC,19787
COMIC,2002,OCTOBER,103,Path,7,2.95,Crossgen,19545
COMIC,2002,OCTOBER,104,Path,8,2.95,Crossgen,19508
COMIC,2002,OCTOBER,105,Hellblazer,177 (Res),2.75,DC,19327
COMIC,2002,OCTOBER,106,Stormwatch Team Achilles,4,2.95,DC,18988
COMIC,2002,OCTOBER,107,Gotham Girls,3,2.25,DC,18964
COMIC,2002,OCTOBER,108,Promethea,23,3.5,DC,18928
COMIC,2002,OCTOBER,109,Wildcats Version 3.0,3,2.95,DC,18892
COMIC,2002,OCTOBER,110,Apache Skies,4,2.99,Marvel,18420
COMIC,2002,OCTOBER,111,Hood,6,2.99,Marvel,18178
COMIC,2002,OCTOBER,112,Green Lantern Evils Might,3,5.95,DC,18142
COMIC,2002,OCTOBER,113,Buffy the Vampire Slayer,50,3.5,Dark Horse,17465
COMIC,2002,OCTOBER,114,Spectre,22,2.75,DC,17090
COMIC,2002,OCTOBER,115,Scion,29,2.95,Crossgen,16799
COMIC,2002,OCTOBER,116,Elektra Glimpse & Echo,4,2.99,Marvel,16545
COMIC,2002,OCTOBER,117,Doom Patrol,13,2.5,DC,16533
COMIC,2002,OCTOBER,118,B-Sides,2,2.99,Marvel,16110
COMIC,2002,OCTOBER,119,Power Company,9,2.75,DC,15989
COMIC,2002,OCTOBER,120,Justice League Adventures,12,2.25,DC,15953
COMIC,2002,OCTOBER,121,Simpsons Comics,75,2.5,Bongo,15832
COMIC,2002,OCTOBER,123,Y The Last Man,4,2.95,DC,15529
COMIC,2002,OCTOBER,124,Route 666,5,2.95,Crossgen,15239
COMIC,2002,OCTOBER,125,Negation Lawbringer,1,2.95,Crossgen,15082
COMIC,2002,OCTOBER,126,Azrael Agent of the Bat,95,2.95,DC,15034
COMIC,2002,OCTOBER,127,Lucifer,31,2.5,DC,14949
COMIC,2002,OCTOBER,128,Athena Inc,4,2.95,Image,14417
COMIC,2002,OCTOBER,129,21 Down,2,2.95,DC,14356
COMIC,2002,OCTOBER,130,Crux,19,2.95,Crossgen,14344
COMIC,2002,OCTOBER,131,Negation,11,2.95,Crossgen,14235
COMIC,2002,OCTOBER,132,Mystic,29,2.95,Crossgen,14078
COMIC,2002,OCTOBER,133,Sigil,29,2.95,Crossgen,13909
COMIC,2002,OCTOBER,134,Limbo City,2,2.95,Dreamwave,13885
COMIC,2002,OCTOBER,135,First,24,2.95,Crossgen,13679
COMIC,2002,OCTOBER,136,Fate of the Blade,3,2.95,Dreamwave,13655
COMIC,2002,OCTOBER,137,Meridian,28,2.95,Crossgen,13558
COMIC,2002,OCTOBER,138,Meridian,29,2.95,Crossgen,13534
COMIC,2002,OCTOBER,139,Arkanium,2,2.95,Dreamwave,13485
COMIC,2002,OCTOBER,140,Hellspawn,18,2.5,Image,13473
COMIC,2002,OCTOBER,141,Savage Dragon,104,2.95,Image,13195
COMIC,2002,OCTOBER,142,Hunter Age Of Magic,16,2.75,DC,13123
COMIC,2002,OCTOBER,143,Strangers In Paradise Vol. III,54,2.95,Abstract,12965
COMIC,2002,OCTOBER,144,Batman Gotham Adventures,55,2.25,DC,12651
COMIC,2002,OCTOBER,145,Lady Death Halloween Special,1,2.99,Chaos,12445
COMIC,2002,OCTOBER,146,Codename Knockout,18,2.75,DC,12445
COMIC,2002,OCTOBER,147,Grendel Red White & Black,2,4.99,Dark Horse,12409
COMIC,2002,OCTOBER,148,Point Blank,3,2.95,DC,11768
COMIC,2002,OCTOBER,149,Automatic Kafka,4,2.95,DC,11587
COMIC,2002,OCTOBER,150,Black Sun,2,2.95,DC,11514
COMIC,2002,OCTOBER,151,Mage Knight Stolen Destiny,1,3.5,IDW,11369
COMIC,2002,OCTOBER,152,Resistance,2,2.95,DC,11296
COMIC,2002,OCTOBER,153,Noble Causes Family Secrets,1,2.95,Image,11091
COMIC,2002,OCTOBER,154,Vampi,24 Reg Ed,2.99,Harris,11054
COMIC,2002,OCTOBER,155,Fight For Tomorrow,2,2.5,DC,11018
COMIC,2002,OCTOBER,156,Vampirella,14 Reg Ed,2.99,Harris,10861
COMIC,2002,OCTOBER,157,Lady Death Dark Alliance,5,2.99,Chaos,10825
COMIC,2002,OCTOBER,158,Radioactive Man,106,2.5,Bongo,10813
COMIC,2002,OCTOBER,159,Witchblade,1/2,2.99,Image,10595
COMIC,2002,OCTOBER,160,Purgatori Trick Or Treat,1,2.99,Chaos,10474
COMIC,2002,OCTOBER,161,Powerpuff Girls,31,2.25,DC,9869
COMIC,2002,OCTOBER,162,Midnight Mass,7,2.5,DC,9784
COMIC,2002,OCTOBER,163,Lab Rats,7,2.5,DC,9264
COMIC,2002,OCTOBER,164,100 Percent,5,5.95,DC,8829
COMIC,2002,OCTOBER,165,Teenage Mutant Ninja Turtles,6,2.95,Mirage,8769
COMIC,2002,OCTOBER,166,3 Little Kittens,2,2.95,Broadsword,8744
COMIC,2002,OCTOBER,167,Oh My Goddess,91,2.99,Dark Horse,8236
COMIC,2002,OCTOBER,168,Usagi Yojimbo,61,2.99,Dark Horse,8128
COMIC,2002,OCTOBER,169,Crusades,20,2.95,DC,8103
COMIC,2002,OCTOBER,170,Vertigo Pop Tokyo,4,2.95,DC,8067
COMIC,2002,OCTOBER,171,Superpatriot Americas Fighting Force,4,2.95,Image,7861
