PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2003,MAY,1,Wolverine,1,2.25,Marvel,157739
COMIC,2003,MAY,2,Batman,615,2.25,DC,143139
COMIC,2003,MAY,3,Ultimates,10,2.25,Marvel,104849
COMIC,2003,MAY,4,Ultimate Spider-Man,40,2.25,Marvel,103790
COMIC,2003,MAY,5,Ultimate Spider-Man,41,2.25,Marvel,102115
COMIC,2003,MAY,6,New X-Men,141,2.25,Marvel,95173
COMIC,2003,MAY,7,Amazing Spider-Man,53,2.25,Marvel,95144
COMIC,2003,MAY,8,Uncanny X-Men,424,2.25,Marvel,94013
COMIC,2003,MAY,9,Ultimate X-Men,33,2.25,Marvel,92510
COMIC,2003,MAY,10,Venom,1,2.25,Marvel,91981
COMIC,2003,MAY,11,Transformers Generation One Vol. 2,2,2.95,Dreamwave,73831
COMIC,2003,MAY,12,X-Treme X-Men,25,2.99,Marvel,65901
COMIC,2003,MAY,13,X-Treme X-Men,26,2.99,Marvel,65729
COMIC,2003,MAY,14,Incredible Hulk,54,2.25,Marvel,61020
COMIC,2003,MAY,15,Daredevil,47,2.99,Marvel,60963
COMIC,2003,MAY,16,JLA,81,2.25,DC,59918
COMIC,2003,MAY,17,Avengers,67,2.25,Marvel,57713
COMIC,2003,MAY,18,New Mutants,1,2.5,Marvel,56640
COMIC,2003,MAY,19,"League Of Extraordinary GentlemenVol. II",5,3.5,DC,53749
COMIC,2003,MAY,20,Green Arrow,25,2.5,DC,52188
COMIC,2003,MAY,21,Fantastic Four,69,2.25,Marvel,51759
COMIC,2003,MAY,22,Marvel Universe The End,5,2.99,Marvel,50700
COMIC,2003,MAY,23,Peter Parker Spider-Man,56,2.25,Marvel,50141
COMIC,2003,MAY,24,Green Arrow,26,2.5,DC,50141
COMIC,2003,MAY,25,Captain America,13,2.99,Marvel,48953
COMIC,2003,MAY,26,Authority Vol. 2,1,2.95,DC,44058
COMIC,2003,MAY,27,Green Lantern,164,2.25,DC,44058
COMIC,2003,MAY,28,JSA,48,2.5,DC,43729
COMIC,2003,MAY,29,JSA All Stars,1,2.5,DC,43271
COMIC,2003,MAY,30,Wolverine Snikt,1,2.99,Marvel,42183
COMIC,2003,MAY,31,Mystique,2,2.99,Marvel,40766
COMIC,2003,MAY,32,Spawn,125,2.5,Image,40680
COMIC,2003,MAY,33,Transformers Armada,11,2.95,Dreamwave,40465
COMIC,2003,MAY,34,Voltron Defender of the Universe,1,2.95,Image,40236
COMIC,2003,MAY,35,Punisher,26,2.99,Marvel,39750
COMIC,2003,MAY,36,Punisher,27,2.99,Marvel,39549
COMIC,2003,MAY,37,Inhumans,1,2.5,Marvel,38562
COMIC,2003,MAY,38,Detective Comics,782,2.75,DC,38189
COMIC,2003,MAY,39,Green Lantern,165,2.25,DC,37746
COMIC,2003,MAY,40,Titans/Young Justice Graduation Day,1,2.5,DC,37331
COMIC,2003,MAY,41,Exiles,27,2.99,Marvel,36958
COMIC,2003,MAY,42,Exiles,26,2.99,Marvel,36844
COMIC,2003,MAY,43,Namor,2,2.25,Marvel,36701
COMIC,2003,MAY,44,X-Men Unlimited,46,2.5,Marvel,35312
COMIC,2003,MAY,45,Thundercats Return,4,2.95,DC,34826
COMIC,2003,MAY,46,Superman,193,2.25,DC,34697
COMIC,2003,MAY,47,X-Men Unlimited,47,2.5,Marvel,34339
COMIC,2003,MAY,48,Thor,64,2.99,Marvel,34110
COMIC,2003,MAY,49,Titans/Young Justice Graduation Day,2,2.5,DC,33938
COMIC,2003,MAY,50,Aquaman,6,2.5,DC,32993
COMIC,2003,MAY,51,Iron Man,68,2.99,Marvel,32993
COMIC,2003,MAY,52,X-Men Phoenix,1,2.99,Marvel,32908
COMIC,2003,MAY,53,Arkham Asylum Living Hell,1,2.5,DC,32335
COMIC,2003,MAY,54,Action Comics,803,2.25,DC,31906
COMIC,2003,MAY,55,G.I. Joe Frontline,7,2.95,Image,31677
COMIC,2003,MAY,56,Flash,198,2.25,DC,31004
COMIC,2003,MAY,57,Batgirl Year One,6,2.95,DC,30875
COMIC,2003,MAY,58,Thundercats/Battle of the Planets,,4.95,DC,30803
COMIC,2003,MAY,59,Human Torch,2,2.5,Marvel,30274
COMIC,2003,MAY,60,Wolverine Doop,1,2.99,Marvel,30116
COMIC,2003,MAY,61,Batgirl,40,2.5,DC,29973
COMIC,2003,MAY,62,Crew,1,2.5,Marvel,29801
COMIC,2003,MAY,63,Batman Gotham Knights,41,2.75,DC,29758
COMIC,2003,MAY,64,Nightwing,81,2.25,DC,29744
COMIC,2003,MAY,65,Hawkman,15,2.5,DC,29701
COMIC,2003,MAY,66,Adventures of Superman,616,2.25,DC,29658
COMIC,2003,MAY,67,"Battle of the Planets ThundercatsOne-Shot",,4.99,Image,29644
COMIC,2003,MAY,68,Domino,1,2.5,Marvel,29515
COMIC,2003,MAY,69,Captain Marvel,9,2.99,Marvel,28642
COMIC,2003,MAY,70,Captain Marvel,10,2.99,Marvel,28370
COMIC,2003,MAY,71,JLA Scary Monsters,3,2.5,DC,28356
COMIC,2003,MAY,72,Weapon X,9,2.99,Marvel,28270
COMIC,2003,MAY,73,Voltron Defender of the Universe,0,2.5,Image,28027
COMIC,2003,MAY,74,Sentinel,2,2.99,Marvel,27568
COMIC,2003,MAY,75,Alias,22,2.99,Marvel,27497
COMIC,2003,MAY,76,"Superman & BatmanGenerations III",5,2.95,DC,27297
COMIC,2003,MAY,77,Elektra,23,2.99,Marvel,27211
COMIC,2003,MAY,78,Battle of the Planets,9,2.99,Image,26724
COMIC,2003,MAY,79,Powers,31,2.95,Image,26652
COMIC,2003,MAY,80,Y The Last Man,11,2.95,DC,26023
COMIC,2003,MAY,81,Wonder Woman,192,2.25,DC,25822
COMIC,2003,MAY,82,Batman Legends of the Dark Knight,167,2.5,DC,25536
COMIC,2003,MAY,83,Fables,13,2.5,DC,24992
COMIC,2003,MAY,84,Battle of the Planets,10,2.99,Image,24677
COMIC,2003,MAY,85,"Criminal Macabre Cal McdonaldMystery",1,2.99,Dark Horse,23976
COMIC,2003,MAY,86,Robotech,6,2.95,DC,23661
COMIC,2003,MAY,87,Catwoman,19,2.5,DC,23575
COMIC,2003,MAY,88,Runaways,2,2.5,Marvel,23174
COMIC,2003,MAY,89,"Ghost in the Shell 2 Man/MachineInterface",4,3.5,Dark Horse,23103
COMIC,2003,MAY,90,Star Wars Empire,8,2.99,Dark Horse,23074
COMIC,2003,MAY,91,Birds of Prey,55,2.5,DC,23074
COMIC,2003,MAY,92,Legion,20,2.5,DC,23031
COMIC,2003,MAY,93,Spider-Girl,60,2.99,Marvel,22959
COMIC,2003,MAY,94,Sojourn,23,2.95,Crossgen,22945
COMIC,2003,MAY,95,Witchblade,64,2.99,Image,22931
COMIC,2003,MAY,96,Smallville,2,3.5,DC,22816
COMIC,2003,MAY,97,Robin,114,2.25,DC,22444
COMIC,2003,MAY,98,Batman Nevermore,2,2.5,DC,22101
COMIC,2003,MAY,99,"Masters of the Universe Vol. 2Santalucia Cvr",3,2.95,Image,21957
COMIC,2003,MAY,100,John Carpenters Snake Plissken,1,2.99,Crossgen,21371
COMIC,2003,MAY,101,Tomb Raider,30,4.99,Image,21213
COMIC,2003,MAY,102,Hero,4,2.5,DC,20884
COMIC,2003,MAY,103,Filth,10,2.95,DC,19911
COMIC,2003,MAY,104,Batman Adventures,2,2.25,DC,19724
COMIC,2003,MAY,105,Thunderbolts,79,2.25,Marvel,19624
COMIC,2003,MAY,106,JLA Age of Wonder,2,5.95,DC,19596
