PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2004,JANUARY,1,Ultimate Fantastic Four,2,2.25,Marvel,126729
COMIC,2004,JANUARY,2,New X-Men,151,2.25,Marvel,124048
COMIC,2004,JANUARY,3,New X-Men,152,2.25,Marvel,118133
COMIC,2004,JANUARY,4,Marvel 1602,6,3.5,Marvel,109163
COMIC,2004,JANUARY,5,Wolverine End,2,2.99,Marvel,100140
COMIC,2004,JANUARY,6,Ultimate X-Men,41,2.25,Marvel,99561
COMIC,2004,JANUARY,7,Ultimate Spider-Man,52,2.25,Marvel,95882
COMIC,2004,JANUARY,8,Ultimate Six,6,2.25,Marvel,94216
COMIC,2004,JANUARY,9,Uncanny X-Men,437,2.25,Marvel,89923
COMIC,2004,JANUARY,10,Batman,623,2.25,DC,89076
COMIC,2004,JANUARY,11,Uncanny X-Men,438,2.25,Marvel,88515
COMIC,2004,JANUARY,12,Amazing Spider-Man,503 (#62),2.25,Marvel,87366
COMIC,2004,JANUARY,13,Wolverine,10,2.25,Marvel,71395
COMIC,2004,JANUARY,14,Teen Titans,7,2.5,DC,68161
COMIC,2004,JANUARY,15,Supreme Power,6,2.99,Marvel,67360
COMIC,2004,JANUARY,16,Spectacular Spider-Man,9,2.25,Marvel,58728
COMIC,2004,JANUARY,17,JLA,92,2.25,DC,58024
COMIC,2004,JANUARY,18,X-Treme X-Men,39,3.5,Marvel,57739
COMIC,2004,JANUARY,19,Daredevil,56,2.99,Marvel,56367
COMIC,2004,JANUARY,20,The Punisher,1,2.99,Marvel,56350
COMIC,2004,JANUARY,21,X-Treme X-Men,40,2.99,Marvel,55049
COMIC,2004,JANUARY,22,Spider-Man Unlimited,1,2.99,Marvel,53428
COMIC,2004,JANUARY,23,Fantastic Four,509 (#80),2.25,Marvel,50275
COMIC,2004,JANUARY,24,The Punisher,2,2.99,Marvel,49197
COMIC,2004,JANUARY,25,Incredible Hulk,65,2.25,Marvel,49063
COMIC,2004,JANUARY,26,Incredible Hulk,66,2.25,Marvel,48573
COMIC,2004,JANUARY,27,Transformers/G.I. Joe,5,2.95,Dreamwave,47558
COMIC,2004,JANUARY,28,Hulk Gray,5,3.5,Marvel,45206
COMIC,2004,JANUARY,29,Outsiders,8,2.5,DC,45144
COMIC,2004,JANUARY,30,JSA,56,2.5,DC,44725
COMIC,2004,JANUARY,31,JSA,57,2.5,DC,43995
COMIC,2004,JANUARY,32,Captain America,22,2.99,Marvel,41278
COMIC,2004,JANUARY,33,Wonder Woman,200,3.95,DC,38018
COMIC,2004,JANUARY,34,Exiles,40,2.99,Marvel,37287
COMIC,2004,JANUARY,35,Exiles,41,2.99,Marvel,37082
COMIC,2004,JANUARY,36,Superman Birthright,6,2.95,DC,36842
COMIC,2004,JANUARY,37,Superman,201,2.25,DC,35996
COMIC,2004,JANUARY,38,Green Arrow,34,2.5,DC,35996
COMIC,2004,JANUARY,39,Emma Frost,7,2.5,Marvel,35818
COMIC,2004,JANUARY,40,Wanted,2,2.99,Image,35755
COMIC,2004,JANUARY,41,Detective Comics,790,2.75,DC,35515
COMIC,2004,JANUARY,42,Hawkman,23,2.5,DC,35150
COMIC,2004,JANUARY,43,Mystique,9,2.99,Marvel,34588
COMIC,2004,JANUARY,44,Hawkman,24,2.5,DC,34473
COMIC,2004,JANUARY,45,Transformers War Within Vol. 2,4,2.95,Dreamwave,34357
COMIC,2004,JANUARY,46,Action Comics,811,2.25,DC,33929
COMIC,2004,JANUARY,47,Flash,206,2.25,DC,33377
COMIC,2004,JANUARY,48,Thanos,4,2.99,Marvel,33003
COMIC,2004,JANUARY,49,Thanos,5,2.99,Marvel,32442
COMIC,2004,JANUARY,50,Mystique,10,2.99,Marvel,32370
COMIC,2004,JANUARY,51,Venom,10,2.99,Marvel,31595
COMIC,2004,JANUARY,52,Adventures of Superman,624,2.25,DC,31471
COMIC,2004,JANUARY,53,G.I. Joe,26,2.95,Devil's Due,31426
COMIC,2004,JANUARY,54,Thor,73,2.99,Marvel,31150
COMIC,2004,JANUARY,55,Silver Surfer,5,2.25,Marvel,31061
COMIC,2004,JANUARY,56,DC New Frontier,1,6.95,DC,30535
COMIC,2004,JANUARY,57,Transformers Energon,19,2.95,Dreamwave,30277
COMIC,2004,JANUARY,58,Iron Man,76,2.99,Marvel,30206
COMIC,2004,JANUARY,59,Green Lantern,173,2.25,DC,30108
COMIC,2004,JANUARY,60,Birds of Prey,63,2.5,DC,29734
