PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2005,SEPTEMBER,1,"All Star Batman & Robin BoyWonder",2,2.99,DC,178573
COMIC,2005,SEPTEMBER,2,New Avengers,10,2.5,Marvel,142999
COMIC,2005,SEPTEMBER,3,House Of M,6,2.99,Marvel,138116
COMIC,2005,SEPTEMBER,4,New Avengers,11,2.5,Marvel,131347
COMIC,2005,SEPTEMBER,5,Superman Batman,22,2.99,DC,103234
COMIC,2005,SEPTEMBER,6,Supergirl,2,2.99,DC,101671
COMIC,2005,SEPTEMBER,7,Ultimates 2,8,2.99,Marvel,95970
COMIC,2005,SEPTEMBER,8,Ghost Rider,1,2.99,Marvel,95172
COMIC,2005,SEPTEMBER,9,JLA,119,2.5,DC,94063
COMIC,2005,SEPTEMBER,10,Omac Project,6,2.5,DC,93364
COMIC,2005,SEPTEMBER,11,JLA,118,2.5,DC,89419
COMIC,2005,SEPTEMBER,12,Wolverine,32,2.5,Marvel,89016
COMIC,2005,SEPTEMBER,13,Uncanny X-Men,464,2.5,Marvel,85876
COMIC,2005,SEPTEMBER,14,Villains United,5,2.5,DC,82484
COMIC,2005,SEPTEMBER,15,Green Lantern Corps Recharge,1,3.5,DC,80710
COMIC,2005,SEPTEMBER,16,Wolverine,33,2.5,Marvel,78499
COMIC,2005,SEPTEMBER,17,Sentry,1,2.99,Marvel,77886
COMIC,2005,SEPTEMBER,18,X-Men,175,2.5,Marvel,76546
COMIC,2005,SEPTEMBER,19,Ultimate Spider-Man,82,2.5,Marvel,75748
COMIC,2005,SEPTEMBER,20,Ultimate X-Men,63,2.5,Marvel,74752
COMIC,2005,SEPTEMBER,21,Ultimate Spider-Man,83,2.5,Marvel,73789
COMIC,2005,SEPTEMBER,22,Rann Thanagar War,5,2.5,DC,72561
COMIC,2005,SEPTEMBER,23,Ultimate Fantastic Four,23,2.5,Marvel,71486
COMIC,2005,SEPTEMBER,24,Ultimate Iron Man,4,2.99,Marvel,71189
COMIC,2005,SEPTEMBER,25,Amazing Spider-Man,524,2.5,Marvel,71057
COMIC,2005,SEPTEMBER,26,Day of Vengeance,6,2.5,DC,70483
COMIC,2005,SEPTEMBER,27,Superman,221,2.5,DC,69058
COMIC,2005,SEPTEMBER,28,Ultimate Secret,3,2.99,Marvel,67039
COMIC,2005,SEPTEMBER,29,Superman Shazam First Thunder,1,3.5,DC,66412
COMIC,2005,SEPTEMBER,30,Batman,645,2.5,DC,65977
COMIC,2005,SEPTEMBER,31,Ultimate Fantastic Four Annual,1,3.99,Marvel,65377
COMIC,2005,SEPTEMBER,32,Young Avengers,7,2.99,Marvel,65126
COMIC,2005,SEPTEMBER,33,Spider-Man House of M,4,2.99,Marvel,64803
COMIC,2005,SEPTEMBER,34,Fantastic Four House of M,3,2.99,Marvel,57281
COMIC,2005,SEPTEMBER,35,Action Comics,831,2.5,DC,55282
COMIC,2005,SEPTEMBER,36,Iron Man House of M,3,2.99,Marvel,55157
COMIC,2005,SEPTEMBER,37,Red Sonja,2,2.99,Dynamic,55144
COMIC,2005,SEPTEMBER,38,JSA Classified,3,2.5,DC,54926
COMIC,2005,SEPTEMBER,39,JSA,77,2.5,DC,53210
COMIC,2005,SEPTEMBER,40,Incredible Hulk,86,2.99,Marvel,52986
COMIC,2005,SEPTEMBER,41,Captain America,10,2.99,Marvel,52603
COMIC,2005,SEPTEMBER,42,Serenity,3,2.99,Dark Horse,52307
COMIC,2005,SEPTEMBER,43,Fantastic Four,531,2.99,Marvel,49740
COMIC,2005,SEPTEMBER,44,Adventures of Superman,644,2.5,DC,49232
COMIC,2005,SEPTEMBER,45,Marvel Knights Spider-Man,18,2.99,Marvel,47649
COMIC,2005,SEPTEMBER,46,Daredevil,77,2.99,Marvel,45940
COMIC,2005,SEPTEMBER,47,Flash,226,2.5,DC,45247
COMIC,2005,SEPTEMBER,48,Outsiders,28,2.5,DC,44218
COMIC,2005,SEPTEMBER,49,Exiles,69,2.99,Marvel,43789
COMIC,2005,SEPTEMBER,50,JLA Classified,12,2.99,DC,43710
COMIC,2005,SEPTEMBER,51,New X-Men,18,2.99,Marvel,43281
COMIC,2005,SEPTEMBER,52,Supreme Power Hyperion,1,2.99,Marvel,42542
COMIC,2005,SEPTEMBER,53,Exiles,70,2.99,Marvel,42430
COMIC,2005,SEPTEMBER,54,Black Panther,8,2.99,Marvel,40490
COMIC,2005,SEPTEMBER,55,Supreme Power Nighthawk,1,2.99,Marvel,39500
COMIC,2005,SEPTEMBER,56,Detective Comics,811,2.5,DC,38768
COMIC,2005,SEPTEMBER,57,"Teen Titans Outsiders Secret Files2005",,4.99,DC,38583
COMIC,2005,SEPTEMBER,58,Mutopia X,3,2.99,Marvel,38062
COMIC,2005,SEPTEMBER,59,Seven Soldiers Mister Miracle,1,2.99,DC,37686
