PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2006,JANUARY,1,Infinite Crisis,4,3.99,DC,182571
COMIC,2006,JANUARY,2,All Star Superman,2,2.99,DC,124285
COMIC,2006,JANUARY,3,New Avengers,15,2.5,Marvel,121716
COMIC,2006,JANUARY,4,Amazing Spider-Man,528,2.5,Marvel,95383
COMIC,2006,JANUARY,5,Green Lantern,7,2.99,DC,84694
COMIC,2006,JANUARY,6,Ultimate Extinction,1,2.99,Marvel,82693
COMIC,2006,JANUARY,7,Uncanny X-Men,468,2.5,Marvel,79781
COMIC,2006,JANUARY,8,Friendly Neighborhood Spider-Man,4,2.99,Marvel,78646
COMIC,2006,JANUARY,9,Marvel Knights Spider-Man,22,2.99,Marvel,74898
COMIC,2006,JANUARY,10,X-Men,181,2.5,Marvel,74069
COMIC,2006,JANUARY,11,JLA,124,2.5,DC,74044
COMIC,2006,JANUARY,12,Ultimate X-Men,66,2.5,Marvel,73694
COMIC,2006,JANUARY,13,X-Men Deadly Genesis,3,3.5,Marvel,73376
COMIC,2006,JANUARY,14,Ultimate Spider-Man,89,2.5,Marvel,71911
COMIC,2006,JANUARY,15,Wolverine,38,2.5,Marvel,70920
COMIC,2006,JANUARY,16,X-Men 198,1,2.99,Marvel,68675
COMIC,2006,JANUARY,17,"Day of Vengeance Infinite CrisisSpecial",,3.99,DC,67527
COMIC,2006,JANUARY,18,Teen Titans,31,2.5,DC,65201
COMIC,2006,JANUARY,19,Batman,649,2.5,DC,62358
COMIC,2006,JANUARY,20,Superman,225,2.5,DC,61747
COMIC,2006,JANUARY,21,"Ultimate Fantastic Four X-MenSpecial",,2.99,Marvel,60468
COMIC,2006,JANUARY,22,Green Lantern Corps Recharge,4,2.99,DC,59932
COMIC,2006,JANUARY,23,Ghost Rider,5,2.99,Marvel,56939
COMIC,2006,JANUARY,24,X-Men End Men & X-Men,1,2.99,Marvel,52873
COMIC,2006,JANUARY,25,Son of M,2,2.99,Marvel,52686
COMIC,2006,JANUARY,26,"Spider-Man Black Cat Evil That MenDo",6,2.99,Marvel,51520
COMIC,2006,JANUARY,27,JSA,81,2.5,DC,50061
COMIC,2006,JANUARY,28,Superman Shazam First Thunder,3,3.5,DC,48882
COMIC,2006,JANUARY,29,New Excalibur,3,2.99,Marvel,47180
COMIC,2006,JANUARY,30,Transformers Infiltration,1,2.99,IDW,45453
COMIC,2006,JANUARY,31,Adventures of Superman,648,2.5,DC,45272
COMIC,2006,JANUARY,32,Iron Man,5,2.99,Marvel,45228
COMIC,2006,JANUARY,33,Daredevil,81,2.99,Marvel,44237
COMIC,2006,JANUARY,34,Outsiders,32,2.5,DC,44012
COMIC,2006,JANUARY,35,Spider-Woman Origin,2,2.99,Marvel,43669
COMIC,2006,JANUARY,36,New X-Men,22,2.99,Marvel,42908
COMIC,2006,JANUARY,37,JSA Classified,7,2.5,DC,42840
COMIC,2006,JANUARY,38,Wonder Woman,225,2.5,DC,42647
COMIC,2006,JANUARY,39,Red Sonja,4,2.99,Dynamic,41842
COMIC,2006,JANUARY,40,Generation M,3,2.99,Marvel,41537
COMIC,2006,JANUARY,41,Action Comics,835,2.5,DC,41100
COMIC,2006,JANUARY,42,Flash,230,2.5,DC,40558
COMIC,2006,JANUARY,43,JLA Classified,16,2.99,DC,39323
COMIC,2006,JANUARY,44,Marvel Zombies,2,2.99,Marvel,38481
COMIC,2006,JANUARY,45,X-Men 198 Files,,3.99,Marvel,36523
COMIC,2006,JANUARY,46,Incredible Hulk,91,2.99,Marvel,35968
COMIC,2006,JANUARY,47,Detective Comics,815,2.5,DC,35556
COMIC,2006,JANUARY,48,Nightwing,116,2.5,DC,35101
COMIC,2006,JANUARY,49,Sentinel Squad One,1,2.99,Marvel,34976
COMIC,2006,JANUARY,50,Punisher,29,2.99,Marvel,34696
COMIC,2006,JANUARY,51,Exiles,75,2.99,Marvel,33474
COMIC,2006,JANUARY,52,Exiles,76,2.99,Marvel,32831
COMIC,2006,JANUARY,53,Sgt Rock Prophecy,1,2.99,DC,32782
COMIC,2006,JANUARY,54,Legion of Super Heroes,13,2.99,DC,32719
COMIC,2006,JANUARY,55,Conan,24,2.99,Dark Horse,31896
COMIC,2006,JANUARY,56,Planetary,24,2.99,DC,31834
COMIC,2006,JANUARY,57,Green Arrow,58,2.5,DC,30979
COMIC,2006,JANUARY,58,Supreme Power Nighthawk,5,2.99,Marvel,30817
COMIC,2006,JANUARY,59,Mythos X-Men,,3.99,Marvel,30624
COMIC,2006,JANUARY,60,Birds of Prey,90,2.5,DC,30449
COMIC,2006,JANUARY,61,Seven Soldiers Mister Miracle,3,2.99,DC,30075
COMIC,2006,JANUARY,62,Seven Soldiers Frankenstein,2,2.99,DC,29564
COMIC,2006,JANUARY,63,Robin,146,2.5,DC,29489
COMIC,2006,JANUARY,64,Batman Gotham Knights,73,2.5,DC,28996
COMIC,2006,JANUARY,65,Next Wave,1,2.99,Marvel,28535
COMIC,2006,JANUARY,66,She-Hulk 2,4,2.99,Marvel,28204
COMIC,2006,JANUARY,67,Black Panther,12,2.99,Marvel,27924
COMIC,2006,JANUARY,68,Pulse,13,2.99,Marvel,27662
COMIC,2006,JANUARY,69,Defenders,5,2.99,Marvel,27587
COMIC,2006,JANUARY,70,Spawn,152,2.95,Image,27238
COMIC,2006,JANUARY,71,Batman & Monster Men,3,2.99,DC,27126
COMIC,2006,JANUARY,72,Batgirl,72,2.5,DC,26471
COMIC,2006,JANUARY,73,Y The Last Man,41,2.99,DC,25922
COMIC,2006,JANUARY,74,Iron Man Inevitable,2,2.99,Marvel,25373
COMIC,2006,JANUARY,75,Books of Doom,3,2.99,Marvel,25149
COMIC,2006,JANUARY,76,Runaways,12,2.99,Marvel,24981
COMIC,2006,JANUARY,77,Jonah Hex,3,2.99,DC,24663
COMIC,2006,JANUARY,78,Fables,45,2.75,DC,24288
COMIC,2006,JANUARY,79,Hawkman,48,2.5,DC,24251
COMIC,2006,JANUARY,80,Punisher Vs Bullseye,3,2.99,Marvel,23864
COMIC,2006,JANUARY,81,Cable Deadpool,24,2.99,Marvel,23534
COMIC,2006,JANUARY,82,"Star Wars Knights of the OldRepublic",1,2.99,Dark Horse,23478
COMIC,2006,JANUARY,83,Batman Legends of the Dark Knight,199,2.5,DC,23453
COMIC,2006,JANUARY,84,"All New Off Handbook MarvelUniverse A To Z",1,3.99,Marvel,23415
COMIC,2006,JANUARY,85,New Thunderbolts,17,2.99,Marvel,23409
COMIC,2006,JANUARY,86,Catwoman,51,2.5,DC,22673
COMIC,2006,JANUARY,87,Firestorm,21,2.5,DC,22492
COMIC,2006,JANUARY,88,X-Men Colossus Bloodline,5,2.99,Marvel,22443
COMIC,2006,JANUARY,89,Star Wars Purge One Shot,,2.99,Dark Horse,22243
COMIC,2006,JANUARY,90,Thing,3,2.99,Marvel,21831
COMIC,2006,JANUARY,91,Batman Journey Into Knight,6,2.5,DC,21663
COMIC,2006,JANUARY,92,Marvel Knights 4,26,2.99,Marvel,21358
COMIC,2006,JANUARY,93,Captain Atom Armageddon,4,2.99,DC,21320
COMIC,2006,JANUARY,94,Ex Machina,17,2.99,DC,21189
COMIC,2006,JANUARY,95,Star Wars Republic,81,2.99,Dark Horse,21021
COMIC,2006,JANUARY,96,Street Fighter II,2,2.95,Udon,20709
COMIC,2006,JANUARY,97,X-Statix Presents Dead Girl,1,2.99,Marvel,20678
COMIC,2006,JANUARY,98,Ares,1,2.99,Marvel,20534
COMIC,2006,JANUARY,99,Marvel Team-Up,16,2.99,Marvel,19948
COMIC,2006,JANUARY,100,Danger Girl Back in Black,3,2.99,DC,19892
COMIC,2006,JANUARY,101,Star Wars Republic,82,2.99,Dark Horse,19593
COMIC,2006,JANUARY,102,Walking Dead,25,2.99,Image,19331
COMIC,2006,JANUARY,103,G.I. Joe Americas Elite,7,2.95,Devil's Due,19212
COMIC,2006,JANUARY,104,Astonishing X-Men Saga,1,3.99,Marvel,18913
COMIC,2006,JANUARY,105,JLA Classified Cold Steel,2,5.99,DC,18551
COMIC,2006,JANUARY,106,Red Sonja Vs Thulsa Doom,1,3.5,Dynamic,18327
COMIC,2006,JANUARY,107,Aquaman,38,2.5,DC,18314
COMIC,2006,JANUARY,108,Doc Samson,1,2.99,Marvel,18233
COMIC,2006,JANUARY,109,Gotham Central,39,2.5,DC,17772
COMIC,2006,JANUARY,110,Daughters of the Dragon,1,2.99,Marvel,17516
COMIC,2006,JANUARY,111,Desolation Jones,5,2.99,DC,17155
COMIC,2006,JANUARY,112,Spider-Girl,94,2.99,Marvel,17142
COMIC,2006,JANUARY,113,Exterminators,1,2.99,DC,16182
COMIC,2006,JANUARY,114,Soulfire Dying of the Light,5,2.99,Aspen,15795
COMIC,2006,JANUARY,115,Red Sonja Goes East One Shot,,4.99,Dynamic,15558
COMIC,2006,JANUARY,116,Sable & Fortune,1,2.99,Marvel,15446
COMIC,2006,JANUARY,117,Wildcats Nemesis,5,2.99,DC,14978
COMIC,2006,JANUARY,118,Angel Old Friends,2,3.99,IDW,14748
COMIC,2006,JANUARY,119,BPRD Black Flame,6,2.99,Dark Horse,14735
COMIC,2006,JANUARY,120,Witchblade,93,2.99,Image,14692
COMIC,2006,JANUARY,121,Hellblazer,216,2.75,DC,14585
COMIC,2006,JANUARY,122,DMZ,3,2.99,DC,14498
COMIC,2006,JANUARY,123,New Mangaverse,1,2.99,Harris,14398
COMIC,2006,JANUARY,124,Witchblade,94,2.99,Image,14317
COMIC,2006,JANUARY,125,100 Bullets,68,2.75,DC,13875
COMIC,2006,JANUARY,126,Spider-Man Unlimited,13,2.99,Marvel,13775
COMIC,2006,JANUARY,127,Testament,2,2.99,DC,13513
COMIC,2006,JANUARY,128,Book of Lost Souls,4,2.99,Marvel,13451
COMIC,2006,JANUARY,129,Manhunter,18,2.5,DC,13207
COMIC,2006,JANUARY,130,Doc Frankenstein,4,3.5,Burlyman,12989
COMIC,2006,JANUARY,131,Down,3,2.99,Image,12521
COMIC,2006,JANUARY,132,Sentinel,3,2.99,Marvel,12434
COMIC,2006,JANUARY,133,G. I. Joe Sigma 6,2,2.95,Devil's Due,12110
COMIC,2006,JANUARY,134,Team Zero,2,2.99,DC,11991
COMIC,2006,JANUARY,135,Vigilante,5,2.99,DC,11935
COMIC,2006,JANUARY,136,Blood of the Demon,11,2.5,DC,11879
COMIC,2006,JANUARY,137,Revelations,6,2.99,Dark Horse,11642
COMIC,2006,JANUARY,138,Teen Titans Go,27,2.25,DC,11605
COMIC,2006,JANUARY,139,Girls,9,2.99,Image,11355
COMIC,2006,JANUARY,140,Nick Fury Howling Commandos,4,2.99,Marvel,11293
COMIC,2006,JANUARY,141,Freshmen,5,2.99,Image,11243
COMIC,2006,JANUARY,142,Majestic,13,2.99,DC,10900
COMIC,2006,JANUARY,143,Simpsons Comics,114,2.99,Bongo,10888
COMIC,2006,JANUARY,144,Elfquest Discovery,1,3.99,DC,10813
COMIC,2006,JANUARY,145,Lucifer,70,2.75,DC,10775
COMIC,2006,JANUARY,146,Amazing Spider-Man,527,2.5,Marvel,10657
COMIC,2006,JANUARY,147,Amazing Fantasy,17,2.99,Marvel,10514
COMIC,2006,JANUARY,148,Justice League Unlimited,17,2.25,DC,10196
COMIC,2006,JANUARY,149,Warren Ellis Black Gas,1,3.99,Avatar,9884
COMIC,2006,JANUARY,150,Tarot Witch of the Black Rose,36,2.95,Broadsword,9853
COMIC,2006,JANUARY,151,Hard Time Season 2,2,2.5,DC,9622
COMIC,2006,JANUARY,152,Ultimate Wolverine Vs Hulk,1,2.99,Marvel,9584
COMIC,2006,JANUARY,153,Fallen Angel,2,3.99,IDW,9584
COMIC,2006,JANUARY,154,Cannon Hawke,5,2.99,Aspen,9485
COMIC,2006,JANUARY,155,Forgotten Realms Dark Elf Exile,3 Seeley Cvr,4.95,Devil's Due,9397
COMIC,2006,JANUARY,156,Aeon Flux,4,2.99,Dark Horse,9079
COMIC,2006,JANUARY,157,Vampirella Revelations,2,2.99,Harris,9042
