PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2007,NOVEMBER,1,World War Hulk,5,3.99,Marvel,145769
COMIC,2007,NOVEMBER,2,Astonishing X-Men,23,2.99,Marvel,112879
COMIC,2007,NOVEMBER,3,New Avengers,36,2.99,Marvel,107677
COMIC,2007,NOVEMBER,4,Thor,4,2.99,Marvel,106503
COMIC,2007,NOVEMBER,5,Uncanny X-Men,492,2.99,Marvel,102474
COMIC,2007,NOVEMBER,6,Incredible Hulk,111,2.99,Marvel,101499
COMIC,2007,NOVEMBER,7,Sensational Spider-Man,41,3.99,Marvel,100264
COMIC,2007,NOVEMBER,8,X-Men,205,2.99,Marvel,99051
COMIC,2007,NOVEMBER,9,"All Star Batman & Robin BoyWonder",8,2.99,DC,97003
COMIC,2007,NOVEMBER,10,Buffy the Vampire Slayer,8,2.99,Dark Horse,91562
COMIC,2007,NOVEMBER,11,New Avengers Illuminati,5,2.99,Marvel,85515
COMIC,2007,NOVEMBER,12,All Star Superman,9,2.99,DC,78678
COMIC,2007,NOVEMBER,13,Batman,671,2.99,DC,76736
COMIC,2007,NOVEMBER,14,Countdown to Final Crisis,25,2.99,DC,74642
COMIC,2007,NOVEMBER,15,Countdown to Final Crisis,24,2.99,DC,74020
COMIC,2007,NOVEMBER,16,Captain America,32,2.99,Marvel,73283
COMIC,2007,NOVEMBER,17,Countdown to Final Crisis,23,2.99,DC,73214
COMIC,2007,NOVEMBER,18,Countdown to Final Crisis,22,2.99,DC,72738
COMIC,2007,NOVEMBER,19,Marvel Zombies 2,2,2.99,Marvel,72685
COMIC,2007,NOVEMBER,20,New X-Men,44,2.99,Marvel,70805
COMIC,2007,NOVEMBER,21,X-Factor,25,2.99,Marvel,70406
COMIC,2007,NOVEMBER,22,Avengers Initiative,7,2.99,Marvel,66431
COMIC,2007,NOVEMBER,23,Wolverine,59,2.99,Marvel,65702
COMIC,2007,NOVEMBER,24,Ultimate Spider-Man,116,2.99,Marvel,61512
COMIC,2007,NOVEMBER,25,Batman & Outsiders,1,2.99,DC,60668
COMIC,2007,NOVEMBER,26,Detective Comics,838,2.99,DC,60246
COMIC,2007,NOVEMBER,27,Fantastic Four,551,2.99,Marvel,58596
COMIC,2007,NOVEMBER,28,Wolverine Origins,19,2.99,Marvel,55979
COMIC,2007,NOVEMBER,29,Green Lantern Corps,18,2.99,DC,55818
COMIC,2007,NOVEMBER,30,Action Comics,859,2.99,DC,54552
COMIC,2007,NOVEMBER,31,Teen Titans,53,2.99,DC,54368
COMIC,2007,NOVEMBER,32,Superman Batman,42,2.99,DC,54322
COMIC,2007,NOVEMBER,33,Superman Batman,43,2.99,DC,53470
COMIC,2007,NOVEMBER,34,World War Hulk Front Line,6,2.99,Marvel,53140
COMIC,2007,NOVEMBER,35,Wonder Woman,14,2.99,DC,53071
COMIC,2007,NOVEMBER,36,Robin,168,2.99,DC,50654
COMIC,2007,NOVEMBER,37,Halo Uprising,2,3.99,Marvel,50147
COMIC,2007,NOVEMBER,38,Teen Titans East Special,1,3.99,DC,49718
COMIC,2007,NOVEMBER,39,Captain America Chosen,4,3.99,Marvel,48490
COMIC,2007,NOVEMBER,40,Superman,670,3.99,DC,48390
COMIC,2007,NOVEMBER,41,Angel After The Fall,1,3.99,IDW,47546
COMIC,2007,NOVEMBER,42,House Of M Avengers,1,2.99,Marvel,47508
COMIC,2007,NOVEMBER,43,Nightwing,138,2.99,DC,46740
COMIC,2007,NOVEMBER,44,Flash,234,2.99,DC,46418
COMIC,2007,NOVEMBER,45,Brave And The Bold,8,2.99,DC,45612
COMIC,2007,NOVEMBER,46,Supergirl,23,2.99,DC,45443
COMIC,2007,NOVEMBER,47,Daredevil,102,2.99,Marvel,45014
COMIC,2007,NOVEMBER,48,World of Warcraft,1,2.99,DC,44492
COMIC,2007,NOVEMBER,49,Captain Marvel,1,2.99,Marvel,43678
COMIC,2007,NOVEMBER,50,World War Hulk Gamma Corps,4,2.99,Marvel,43103
COMIC,2007,NOVEMBER,51,Ultimate Fantastic Four,48,2.99,Marvel,43064
COMIC,2007,NOVEMBER,52,Superman Annual,13,3.99,DC,42819
COMIC,2007,NOVEMBER,53,Green Arrow Black Canary,2,2.99,DC,42811
COMIC,2007,NOVEMBER,54,Batman & Outsiders,2,2.99,DC,42811
COMIC,2007,NOVEMBER,55,Punisher War Journal,13,2.99,Marvel,41768
COMIC,2007,NOVEMBER,56,Immortal Iron Fist,10,2.99,Marvel,41353
COMIC,2007,NOVEMBER,57,Salvation Run,1,2.99,DC,40517
COMIC,2007,NOVEMBER,58,Silver Surfer In Thy Name,1,2.99,Marvel,39903
COMIC,2007,NOVEMBER,59,X-Men Emperor Vulcan,3,2.99,Marvel,37685
COMIC,2007,NOVEMBER,60,Booster Gold,4,2.99,DC,37670
COMIC,2007,NOVEMBER,61,Annihilation Conquest,1,2.99,Marvel,35813
COMIC,2007,NOVEMBER,62,Sub-Mariner,6,2.99,Marvel,35322
COMIC,2007,NOVEMBER,63,Iron Man Director of Shield Annual,1,3.99,Marvel,34347
COMIC,2007,NOVEMBER,64,Heroes For Hire,15,2.99,Marvel,33396
COMIC,2007,NOVEMBER,65,Punisher,52,2.99,Marvel,32897
COMIC,2007,NOVEMBER,66,Death of New Gods,3,3.5,DC,32644
COMIC,2007,NOVEMBER,67,"Countdown Search For Ray Palmer RedRain",1,2.99,DC,32598
COMIC,2007,NOVEMBER,68,Moon Knight Annual,1,3.99,Marvel,32291
COMIC,2007,NOVEMBER,69,Nova,8,2.99,Marvel,32099
COMIC,2007,NOVEMBER,70,Thunderbolts Breaking Point,,2.99,Marvel,32030
COMIC,2007,NOVEMBER,71,"Countdown Search For Ray PalmerGotham By Gaslight",1,2.99,DC,31754
COMIC,2007,NOVEMBER,72,Black Adam Dark Age,4,2.99,DC,31577
COMIC,2007,NOVEMBER,73,Ghost Rider,17,2.99,Marvel,31569
COMIC,2007,NOVEMBER,74,Star Wars Legacy,17,2.99,Dark Horse,31186
COMIC,2007,NOVEMBER,75,X-Men Die By The Sword,3,2.99,Marvel,30273
COMIC,2007,NOVEMBER,76,52 Aftermath Four Horsemen,4,2.99,DC,29774
COMIC,2007,NOVEMBER,77,Boys,12,2.99,Dynamic,29743
COMIC,2007,NOVEMBER,78,The Order,4,2.99,Marvel,29735
COMIC,2007,NOVEMBER,79,What If Annihilation,,2.99,Marvel,29705
COMIC,2007,NOVEMBER,80,Umbrella Academy Apocalypse Suite,3,2.99,Dark Horse,29497
COMIC,2007,NOVEMBER,81,Countdown To Adventure,4,3.99,DC,28623
COMIC,2007,NOVEMBER,82,Ghost Rider Annual,1,3.99,Marvel,28446
COMIC,2007,NOVEMBER,83,Black Panther,32,2.99,Marvel,28416
COMIC,2007,NOVEMBER,84,Annihilation Conquest Star Lord,4,2.99,Marvel,27725
COMIC,2007,NOVEMBER,85,Ultimate Vision,5,2.99,Marvel,27579
COMIC,2007,NOVEMBER,86,Countdown To Mystery,3,3.99,DC,27418
COMIC,2007,NOVEMBER,87,Batman Confidential,11,2.99,DC,27387
COMIC,2007,NOVEMBER,88,"Supergirl And The Legion Of SuperHeroes",36,2.99,DC,26804
COMIC,2007,NOVEMBER,89,Gotham Underground,2,2.99,DC,26528
COMIC,2007,NOVEMBER,90,Ms Marvel,21,2.99,Marvel,26474
COMIC,2007,NOVEMBER,91,Trials of Shazam,10,2.99,DC,25553
COMIC,2007,NOVEMBER,92,Y Last Man,59,2.99,DC,25400
COMIC,2007,NOVEMBER,93,Ultimates Saga,,3.99,Marvel,25392
COMIC,2007,NOVEMBER,94,Birds of Prey,112,2.99,DC,25108
COMIC,2007,NOVEMBER,95,She-Hulk 2,23,2.99,Marvel,24947
COMIC,2007,NOVEMBER,96,Fables,67,2.99,DC,24832
COMIC,2007,NOVEMBER,97,Superman Confidential,9,2.99,DC,24832
COMIC,2007,NOVEMBER,98,Cable Deadpool,47,2.99,Marvel,24379
COMIC,2007,NOVEMBER,99,Hellboy Darkness Calls,6,2.99,Dark Horse,24295
COMIC,2007,NOVEMBER,100,"Countdown Lord Havok And TheExtremists",2,2.99,DC,24187
COMIC,2007,NOVEMBER,101,Spawn,172,2.95,Image,23619
COMIC,2007,NOVEMBER,102,Marvel Comics Presents,3,3.99,Marvel,23435
COMIC,2007,NOVEMBER,103,Freddy Vs Jason Vs Ash,1,2.99,DC,23297
COMIC,2007,NOVEMBER,104,Spider-Man Red Sonja,4,2.99,Marvel,22960
COMIC,2007,NOVEMBER,105,Conan,46,2.99,Dark Horse,22929
COMIC,2007,NOVEMBER,106,Walking Dead,44,2.99,Image,22561
COMIC,2007,NOVEMBER,107,Penance Relentless,3,2.99,Marvel,22453
COMIC,2007,NOVEMBER,108,Frank Frazettas Death Dealer,5,3.99,Image,22254
COMIC,2007,NOVEMBER,109,"Star Wars Knights of the OldRepublic",22,2.99,Dark Horse,21686
COMIC,2007,NOVEMBER,110,Ultimate Marvel Sampler,,0.25,Marvel,21563
COMIC,2007,NOVEMBER,111,"Star Wars Knights of the OldRepublic",23,2.99,Dark Horse,20512
COMIC,2007,NOVEMBER,112,Powers,27,3.95,Marvel,19836
COMIC,2007,NOVEMBER,113,Wonder Girl,3,2.99,DC,19767
COMIC,2007,NOVEMBER,114,Suicide Squad Raise Flag,3,2.99,DC,19767
COMIC,2007,NOVEMBER,115,Jungle Girl Px Ed,3,1.5,Dynamic,19698
COMIC,2007,NOVEMBER,116,Crime Bible Five Lessons of Blood,2,2.99,DC,19491
COMIC,2007,NOVEMBER,117,Red Sonja,27,2.99,Dynamic,19292
COMIC,2007,NOVEMBER,118,Spirit,11,2.99,DC,18885
COMIC,2007,NOVEMBER,119,Catwoman,73,2.99,DC,18808
COMIC,2007,NOVEMBER,120,Infinity Inc,3,2.99,DC,18770
COMIC,2007,NOVEMBER,121,Metal Men,4,2.99,DC,18701
COMIC,2007,NOVEMBER,122,Simon Dark,2,2.99,DC,18486
COMIC,2007,NOVEMBER,123,Lone Ranger,10,2.99,Dynamic,18256
COMIC,2007,NOVEMBER,124,JLA Classified,46,2.99,DC,18071
COMIC,2007,NOVEMBER,125,Grendel Behold Devil,1,3.5,Dark Horse,17987
COMIC,2007,NOVEMBER,126,JLA Classified,47,2.99,DC,17826
COMIC,2007,NOVEMBER,127,JSA Classified,32,2.99,DC,17749
COMIC,2007,NOVEMBER,128,Authority Prime,2,2.99,DC,17711
COMIC,2007,NOVEMBER,129,Iron Man Enter Mandarin,3,2.99,Marvel,17680
