PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2009,DECEMBER,1,Blackest Night,6,3.99,DC,100651
COMIC,2009,DECEMBER,2,Green Lantern,49,2.99,DC,97285
COMIC,2009,DECEMBER,3,Captain America Reborn,5,3.99,Marvel,91790
COMIC,2009,DECEMBER,5,Blackest Night The Flash,1,2.99,DC,80313
COMIC,2009,DECEMBER,6,Green Lantern Corps,43,2.99,DC,77774
COMIC,2009,DECEMBER,7,New Avengers,60,3.99,Marvel,72790
COMIC,2009,DECEMBER,8,Blackest Night Wonder Woman,1,2.99,DC,70758
COMIC,2009,DECEMBER,9,Dark Avengers,12,3.99,Marvel,69799
COMIC,2009,DECEMBER,10,Blackest Night JSA,1,2.99,DC,68721
COMIC,2009,DECEMBER,11,Justice League of America,40,3.99,DC,68672
COMIC,2009,DECEMBER,12,Siege Cabal,,3.99,Marvel,68655
COMIC,2009,DECEMBER,13,Uncanny X-Men,518,2.99,Marvel,68572
COMIC,2009,DECEMBER,14,Uncanny X-Men,519,2.99,Marvel,67043
COMIC,2009,DECEMBER,15,Batman,694,2.99,DC,65908
COMIC,2009,DECEMBER,16,Amazing Spider-Man,615,2.99,Marvel,63738
COMIC,2009,DECEMBER,17,Fall of Hulks Alpha,,3.99,Marvel,62785
COMIC,2009,DECEMBER,18,Thor,604,2.99,Marvel,61608
COMIC,2009,DECEMBER,19,New Avengers Annual,3,4.99,Marvel,61435
COMIC,2009,DECEMBER,20,Dark Avengers Annual,1,4.99,Marvel,60524
COMIC,2009,DECEMBER,21,Adventure Comics,5,3.99,DC,59876
COMIC,2009,DECEMBER,22,Amazing Spider-Man,614,2.99,Marvel,59696
COMIC,2009,DECEMBER,23,Amazing Spider-Man,616,2.99,Marvel,58856
COMIC,2009,DECEMBER,24,Astonishing X-Men,33,2.99,Marvel,57592
COMIC,2009,DECEMBER,25,Thor,605,2.99,Marvel,55242
COMIC,2009,DECEMBER,26,Hulk,18,3.99,Marvel,53222
COMIC,2009,DECEMBER,27,Detective Comics,860,3.99,DC,52295
COMIC,2009,DECEMBER,28,X-Force,22,3.99,Marvel,51859
COMIC,2009,DECEMBER,29,X-Men Legacy,231,2.99,Marvel,50929
COMIC,2009,DECEMBER,30,X-Men Legacy,230,3.99,Marvel,49776
COMIC,2009,DECEMBER,31,Superman Batman,67,2.99,DC,49650
COMIC,2009,DECEMBER,32,Mighty Avengers,32,2.99,Marvel,48662
COMIC,2009,DECEMBER,33,Dark Wolverine,81,2.99,Marvel,48102
COMIC,2009,DECEMBER,34,Invincible Iron Man,21,2.99,Marvel,47330
COMIC,2009,DECEMBER,35,Fall of Hulks Gamma,,3.99,Marvel,46883
COMIC,2009,DECEMBER,36,Deadpool,18,2.99,Marvel,45914
COMIC,2009,DECEMBER,37,Ultimate Comics Spider-Man,5,3.99,Marvel,45849
COMIC,2009,DECEMBER,38,"Buffy The Vampire Slayer Willow OneShot",,3.5,Dark Horse,45136
COMIC,2009,DECEMBER,39,Incredible Hulk,605,3.99,Marvel,43964
COMIC,2009,DECEMBER,40,Teen Titans,78,3.99,DC,43400
COMIC,2009,DECEMBER,41,X-Force Annual,1,3.99,Marvel,43113
COMIC,2009,DECEMBER,42,JSA All Stars,1,3.99,DC,42493
COMIC,2009,DECEMBER,43,Dark X-Men,2,3.99,Marvel,42207
COMIC,2009,DECEMBER,44,Nation X,1,3.99,Marvel,41796
COMIC,2009,DECEMBER,45,Justice Society of America,34,2.99,DC,41734
COMIC,2009,DECEMBER,46,X Necrosha Gathering,,3.99,Marvel,40766
COMIC,2009,DECEMBER,47,Booster Gold,27,3.99,DC,40256
COMIC,2009,DECEMBER,48,Red Robin,7,2.99,DC,39528
COMIC,2009,DECEMBER,49,Daredevil,503,2.99,Marvel,38680
COMIC,2009,DECEMBER,50,Fantastic Four,574,2.99,Marvel,38431
COMIC,2009,DECEMBER,51,Outsiders,25,3.99,DC,37847
COMIC,2009,DECEMBER,52,Deadpool Merc With A Mouth,6,2.99,Marvel,37051
COMIC,2009,DECEMBER,53,X-Factor,200,4.99,Marvel,36577
COMIC,2009,DECEMBER,54,Wolverine Origins,43,2.99,Marvel,36528
COMIC,2009,DECEMBER,55,Deadpool Team-Up,898,2.99,Marvel,36308
COMIC,2009,DECEMBER,56,Doom Patrol,5,3.99,DC,35348
COMIC,2009,DECEMBER,57,Marvels Project,4,3.99,Marvel,34775
COMIC,2009,DECEMBER,58,Superman World of New Krypton,10,2.99,DC,33868
COMIC,2009,DECEMBER,59,Wolverine Weapon X,8,3.99,Marvel,33470
COMIC,2009,DECEMBER,60,Superman,695,2.99,DC,33372
COMIC,2009,DECEMBER,61,Batgirl,5,2.99,DC,32482
COMIC,2009,DECEMBER,62,Avengers Initiative,31,2.99,Marvel,32291
COMIC,2009,DECEMBER,63,New Mutants,8,2.99,Marvel,32240
COMIC,2009,DECEMBER,64,Batman 80 Page Giant,1,5.99,DC,32200
COMIC,2009,DECEMBER,65,Action Comics,884,3.99,DC,31873
COMIC,2009,DECEMBER,66,Rebels,11,3.99,DC,31489
COMIC,2009,DECEMBER,67,Dark Tower Battle of Jericho Hill,1,3.99,Marvel,30756
COMIC,2009,DECEMBER,68,Secret Warriors,11,2.99,Marvel,30748
COMIC,2009,DECEMBER,69,Batman Streets of Gotham,7,3.99,DC,30290
COMIC,2009,DECEMBER,70,Thunderbolts,139,2.99,Marvel,29957
COMIC,2009,DECEMBER,71,Spider-Woman,4,2.99,Marvel,29755
COMIC,2009,DECEMBER,72,Gotham City Sirens,7,2.99,DC,29709
COMIC,2009,DECEMBER,73,Ultimate Comics Armor Wars,3,3.99,Marvel,29439
COMIC,2009,DECEMBER,74,Web of Spider-Man,3,3.99,Marvel,29368
COMIC,2009,DECEMBER,75,Cable,21,3.99,Marvel,29094
COMIC,2009,DECEMBER,76,Haunt,3,2.99,Image,28390
COMIC,2009,DECEMBER,77,Dark Tower Battle of Jericho Hill,2,3.99,Marvel,28350
COMIC,2009,DECEMBER,78,Supergirl,48,2.99,DC,28176
COMIC,2009,DECEMBER,79,Image United,2,3.99,Image,27469
COMIC,2009,DECEMBER,80,Wonder Woman,39,2.99,DC,26152
COMIC,2009,DECEMBER,81,Titans,20,2.99,DC,25887
COMIC,2009,DECEMBER,82,What If Astonishing X-Men,,3.99,Marvel,25060
COMIC,2009,DECEMBER,83,Archie,604,2.5,Archie,25058
COMIC,2009,DECEMBER,84,Punisher,12,2.99,Marvel,24985
COMIC,2009,DECEMBER,85,What If Secret Invasion,,3.99,Marvel,24966
COMIC,2009,DECEMBER,86,What If World War Hulk,,3.99,Marvel,24582
COMIC,2009,DECEMBER,87,Stand Soul Survivors,3,3.99,Marvel,24308
COMIC,2009,DECEMBER,88,Walking Dead,68,2.99,Image,24230
COMIC,2009,DECEMBER,89,Boys,37,2.99,Dynamic,24025
COMIC,2009,DECEMBER,90,Incredible Hercules,139,3.99,Marvel,23591
COMIC,2009,DECEMBER,91,Worlds Finest,3,2.99,DC,23295
COMIC,2009,DECEMBER,92,Punishermax,2,3.99,Marvel,23110
COMIC,2009,DECEMBER,93,Psylocke,2,3.99,Marvel,23018
COMIC,2009,DECEMBER,94,Secret Six,16,2.99,DC,22638
COMIC,2009,DECEMBER,95,Power Girl,7,2.99,DC,22533
COMIC,2009,DECEMBER,96,Ms Marvel,48,2.99,Marvel,22527
COMIC,2009,DECEMBER,97,Spider-Man And Secret Wars,1,2.99,Marvel,22397
COMIC,2009,DECEMBER,98,What If Spider-Man House of M,,3.99,Marvel,22287
COMIC,2009,DECEMBER,99,Guardians of Galaxy,21,2.99,Marvel,22271
COMIC,2009,DECEMBER,100,Nova,32,2.99,Marvel,22202
COMIC,2009,DECEMBER,101,Vengeance of Moon Knight,4,2.99,Marvel,21482
COMIC,2009,DECEMBER,102,What If Daredevil Vs Elektra,,3.99,Marvel,21411
COMIC,2009,DECEMBER,103,Angel,28,3.99,IDW,21301
COMIC,2009,DECEMBER,104,Realm of Kings Inhumans,2,3.99,Marvel,21242
COMIC,2009,DECEMBER,105,Star Wars Legacy,43,2.99,Dark Horse,20983
COMIC,2009,DECEMBER,106,Brave And The Bold,30,2.99,DC,20932
COMIC,2009,DECEMBER,107,Black Widow Deadly Origin,2,3.99,Marvel,20925
COMIC,2009,DECEMBER,108,Hellboy Bride of Hell One Shot,,3.5,Dark Horse,20761
COMIC,2009,DECEMBER,109,Realm of Kings Imperial Guard,2,3.99,Marvel,20647
COMIC,2009,DECEMBER,110,Fables,91,2.99,DC,20450
COMIC,2009,DECEMBER,111,"Amazing Spider-Man Presents AntiVenom",3,3.99,Marvel,20364
COMIC,2009,DECEMBER,112,Iron Man Vs Whiplash,1,3.99,Marvel,20126
COMIC,2009,DECEMBER,113,Arkham Reborn,3,2.99,DC,19580
COMIC,2009,DECEMBER,114,Wolverine Under Boardwalk One-Shot,,3.99,Marvel,19271
COMIC,2009,DECEMBER,115,X-Men Forever,13,3.99,Marvel,18870
COMIC,2009,DECEMBER,116,Dark Avengers Ares,3,3.99,Marvel,18597
COMIC,2009,DECEMBER,117,X-Men Forever,14,3.99,Marvel,18376
COMIC,2009,DECEMBER,118,Spider-Man Clone Saga,4,3.99,Marvel,18324
COMIC,2009,DECEMBER,119,Strange,2,3.99,Marvel,18005
COMIC,2009,DECEMBER,120,Black Panther 2,11,2.99,Marvel,17989
COMIC,2009,DECEMBER,121,Azrael,3,2.99,DC,17757
COMIC,2009,DECEMBER,122,War Machine,12,2.99,Marvel,17572
COMIC,2009,DECEMBER,123,Powers,2,3.95,Marvel,17181
COMIC,2009,DECEMBER,124,Green Arrow Black Canary,27,3.99,DC,16904
COMIC,2009,DECEMBER,125,Angel Annual,1,7.99,IDW,16616
COMIC,2009,DECEMBER,126,Cinderella From Fabletown With Love,2,2.99,DC,16598
