PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2009,FEBRUARY,1,Amazing Spider-Man,583,3.99,Marvel,148778
COMIC,2009,FEBRUARY,2,Batman,686,3.99,DC,111333
COMIC,2009,FEBRUARY,3,New Avengers,50,4.99,Marvel,106812
COMIC,2009,FEBRUARY,4,Thor,600,4.99,Marvel,96700
COMIC,2009,FEBRUARY,5,Dark Avengers,2,3.99,Marvel,93536
COMIC,2009,FEBRUARY,6,Hulk,10,3.99,Marvel,77203
COMIC,2009,FEBRUARY,7,Mighty Avengers,21 Corrected,3.99,Marvel,76233
COMIC,2009,FEBRUARY,8,Mighty Avengers,22,2.99,Marvel,72852
COMIC,2009,FEBRUARY,9,Uncanny X-Men,506,2.99,Marvel,71671
COMIC,2009,FEBRUARY,10,Justice League of America,30,2.99,DC,69698
COMIC,2009,FEBRUARY,11,Green Lantern,38,2.99,DC,68896
COMIC,2009,FEBRUARY,12,Buffy The Vampire Slayer,22,2.99,Dark Horse,67563
COMIC,2009,FEBRUARY,13,Justice Society of America,24,2.99,DC,65196
COMIC,2009,FEBRUARY,14,Captain America,47,2.99,Marvel,62838
COMIC,2009,FEBRUARY,15,Final Crisis Legion of Three Worlds,3,3.99,DC,61347
COMIC,2009,FEBRUARY,16,Amazing Spider-Man,585,2.99,Marvel,60275
COMIC,2009,FEBRUARY,17,Amazing Spider-Man,587,2.99,Marvel,60107
COMIC,2009,FEBRUARY,18,Amazing Spider-Man,586,2.99,Marvel,59510
COMIC,2009,FEBRUARY,19,Secret Warriors,1,3.99,Marvel,57694
COMIC,2009,FEBRUARY,20,X-Men Legacy,221,2.99,Marvel,56507
COMIC,2009,FEBRUARY,21,Invincible Iron Man,10,2.99,Marvel,51640
COMIC,2009,FEBRUARY,22,X-Force,12,2.99,Marvel,51440
COMIC,2009,FEBRUARY,23,Ultimate Spider-Man,131,2.99,Marvel,49556
COMIC,2009,FEBRUARY,24,Fantastic Four,564,2.99,Marvel,49511
COMIC,2009,FEBRUARY,25,Action Comics,874,2.99,DC,48352
COMIC,2009,FEBRUARY,26,Avengers Invaders,8,2.99,Marvel,48311
COMIC,2009,FEBRUARY,27,Dark Tower Treachery,6,3.99,Marvel,48119
COMIC,2009,FEBRUARY,28,Superman,685,2.99,DC,48019
COMIC,2009,FEBRUARY,29,Avengers Initiative,22,2.99,Marvel,46924
COMIC,2009,FEBRUARY,30,Black Panther 2,1,3.99,Marvel,46691
COMIC,2009,FEBRUARY,31,Thunderbolts,129,2.99,Marvel,45392
COMIC,2009,FEBRUARY,32,Wolverine Origins,33,2.99,Marvel,44927
COMIC,2009,FEBRUARY,33,Green Lantern Corps,33,2.99,DC,44599
COMIC,2009,FEBRUARY,34,Deadpool,7,2.99,Marvel,44074
COMIC,2009,FEBRUARY,35,Superman Batman,55,2.99,DC,43954
COMIC,2009,FEBRUARY,36,Nightwing,153,2.99,DC,37644
COMIC,2009,FEBRUARY,37,Ultimate Fantastic Four,60,3.99,Marvel,37260
COMIC,2009,FEBRUARY,38,X-Infernus,3,3.99,Marvel,36740
COMIC,2009,FEBRUARY,39,Punisher,2,2.99,Marvel,36519
COMIC,2009,FEBRUARY,40,Titans,10,2.99,DC,36355
COMIC,2009,FEBRUARY,41,Trinity,36,2.99,DC,36195
COMIC,2009,FEBRUARY,42,Trinity,37,2.99,DC,35792
COMIC,2009,FEBRUARY,43,Batman and the Outsiders Special,1,3.99,DC,35721
COMIC,2009,FEBRUARY,44,Trinity,38,2.99,DC,35280
COMIC,2009,FEBRUARY,45,Trinity,39,2.99,DC,35194
COMIC,2009,FEBRUARY,46,Teen Titans,68,2.99,DC,35090
COMIC,2009,FEBRUARY,47,Supergirl,38,2.99,DC,34219
COMIC,2009,FEBRUARY,48,War Machine,3,2.99,Marvel,33812
COMIC,2009,FEBRUARY,49,Wonder Woman,29,2.99,DC,33231
COMIC,2009,FEBRUARY,50,Adventure Comics,0,1.0,DC,32845
COMIC,2009,FEBRUARY,51,Angel,17,3.99,IDW,32836
COMIC,2009,FEBRUARY,52,X-Men Kingbreaker,3,3.99,Marvel,32469
COMIC,2009,FEBRUARY,53,Angel,18,3.99,IDW,32056
COMIC,2009,FEBRUARY,54,X-Factor,40,2.99,Marvel,31938
COMIC,2009,FEBRUARY,55,Cable,11,2.99,Marvel,31812
COMIC,2009,FEBRUARY,56,Robin,183,2.99,DC,31677
COMIC,2009,FEBRUARY,57,X-Men Vs Hulk,1,3.99,Marvel,31008
COMIC,2009,FEBRUARY,58,Incredible Hercules,126,3.99,Marvel,30995
COMIC,2009,FEBRUARY,59,Agents of Atlas,1,3.99,Marvel,30256
COMIC,2009,FEBRUARY,60,Outsiders,15,2.99,DC,30019
COMIC,2009,FEBRUARY,61,Skaar Son of Hulk,8,2.99,Marvel,28766
COMIC,2009,FEBRUARY,62,Guardians of Galaxy,10,2.99,Marvel,27643
COMIC,2009,FEBRUARY,63,Wolverine Manifest Destiny,4,2.99,Marvel,27089
COMIC,2009,FEBRUARY,64,X-Men Noir,3,3.99,Marvel,27049
COMIC,2009,FEBRUARY,65,Astonishing Tales,1,3.99,Marvel,27025
COMIC,2009,FEBRUARY,66,Boys,27,2.99,Dynamic,25977
COMIC,2009,FEBRUARY,67,Ms Marvel,36,2.99,Marvel,25859
COMIC,2009,FEBRUARY,68,Spider-Man Noir,3,3.99,Marvel,25814
COMIC,2009,FEBRUARY,69,Young X-Men,11,2.99,Marvel,25596
COMIC,2009,FEBRUARY,70,War of Kings Darkhawk,1,3.99,Marvel,25580
COMIC,2009,FEBRUARY,71,Star Wars Legacy,33,2.99,Dark Horse,25384
COMIC,2009,FEBRUARY,72,Nova,22,2.99,Marvel,25060
COMIC,2009,FEBRUARY,73,Secret Six,6,2.99,DC,24753
COMIC,2009,FEBRUARY,74,Booster Gold,17,2.99,DC,24727
COMIC,2009,FEBRUARY,75,Rebels,1,2.99,DC,23734
COMIC,2009,FEBRUARY,76,G.I. Joe,2,3.99,IDW,23636
COMIC,2009,FEBRUARY,77,Brave And The Bold,22,2.99,DC,23503
COMIC,2009,FEBRUARY,78,Green Arrow Black Canary,17,2.99,DC,23388
COMIC,2009,FEBRUARY,79,Immortal Iron Fist,22,2.99,Marvel,23255
COMIC,2009,FEBRUARY,80,X-Men Origins Sabretooth,,3.99,Marvel,22998
COMIC,2009,FEBRUARY,81,Incognito,2,3.5,Marvel,22958
COMIC,2009,FEBRUARY,82,Walking Dead,58,2.99,Image,22716
COMIC,2009,FEBRUARY,83,Fables,81,2.99,DC,22513
COMIC,2009,FEBRUARY,84,"X-Men Lives And Times of LucasBishop",1,3.99,Marvel,22271
COMIC,2009,FEBRUARY,85,Punisher Frank Castle Max,67,3.99,Marvel,22263
COMIC,2009,FEBRUARY,86,Savage Dragon,145,3.5,Image,22143
COMIC,2009,FEBRUARY,87,Gi Joe Origins,1,3.99,IDW,21971
COMIC,2009,FEBRUARY,88,Hellboy Wild Hunt,3,2.99,Dark Horse,21660
COMIC,2009,FEBRUARY,89,Terror Titans,5,2.99,DC,21636
COMIC,2009,FEBRUARY,90,Birds of Prey,127,2.99,DC,21420
COMIC,2009,FEBRUARY,91,Moon Knight,27,2.99,Marvel,21409
COMIC,2009,FEBRUARY,92,Ghost Rider,32,2.99,Marvel,21347
COMIC,2009,FEBRUARY,93,X-Men Magneto Testament,5,3.99,Marvel,21341
COMIC,2009,FEBRUARY,94,Umbrella Academy Dallas,4,2.99,Dark Horse,21100
COMIC,2009,FEBRUARY,95,Spawn,189,2.95,Image,21075
COMIC,2009,FEBRUARY,96,Conan The Cimmerian,8,2.99,Dark Horse,20979
COMIC,2009,FEBRUARY,97,Marvels Eye of Camera,4,3.99,Marvel,20905
COMIC,2009,FEBRUARY,98,Captain Britain And M.I. 13,10,2.99,Marvel,20623
