PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2010,APRIL,1,Brightest Day,0,3.99,DC,129446
COMIC,2010,APRIL,2,Flash,1,3.99,DC,100903
COMIC,2010,APRIL,3,Green Lantern,53,2.99,DC,100356
COMIC,2010,APRIL,4,Batman and Robin,11,2.99,DC,84006
COMIC,2010,APRIL,5,New Avengers,64,3.99,Marvel,75430
COMIC,2010,APRIL,6,Uncanny X-Men,523,2.99,Marvel,74090
COMIC,2010,APRIL,7,Invincible Iron Man,25,3.99,Marvel,73694
COMIC,2010,APRIL,8,Green Lantern Corps,47,3.99,DC,72163
COMIC,2010,APRIL,9,Ultimate Comics Avengers 2,1,3.99,Marvel,64811
COMIC,2010,APRIL,10,Thor,609,2.99,Marvel,64522
COMIC,2010,APRIL,11,Justice League of America,44,3.99,DC,62342
COMIC,2010,APRIL,12,X-Force,26,2.99,Marvel,62200
COMIC,2010,APRIL,13,Batman,698,2.99,DC,60934
COMIC,2010,APRIL,14,X-Men Legacy,235,2.99,Marvel,60649
COMIC,2010,APRIL,15,Image Firsts Walking Dead,1,1.0,Image,59152
COMIC,2010,APRIL,16,Captain America,605,3.99,Marvel,59051
COMIC,2010,APRIL,17,Amazing Spider-Man,628,3.99,Marvel,57797
COMIC,2010,APRIL,18,Siege Captain America,1,2.99,Marvel,54686
COMIC,2010,APRIL,19,Amazing Spider-Man,629,2.99,Marvel,53560
COMIC,2010,APRIL,20,Ultimate Comics Avengers,6,3.99,Marvel,53438
COMIC,2010,APRIL,21,Siege Spider-Man,1,2.99,Marvel,51840
COMIC,2010,APRIL,22,Mighty Avengers,36,2.99,Marvel,50252
COMIC,2010,APRIL,23,Iron Man Legacy,1,3.99,Marvel,48956
COMIC,2010,APRIL,24,Siege Loki,1,2.99,Marvel,48072
COMIC,2010,APRIL,25,Ultimate Comics X,2,3.99,Marvel,47996
COMIC,2010,APRIL,26,Dark Wolverine,85,2.99,Marvel,47527
COMIC,2010,APRIL,27,Buffy The Vampire Slayer,34,2.99,Dark Horse,45909
COMIC,2010,APRIL,28,Siege Secret Warriors,1,2.99,Marvel,44153
COMIC,2010,APRIL,29,Siege Young Avengers,1,2.99,Marvel,43886
COMIC,2010,APRIL,30,Deadpool,22,2.99,Marvel,43061
COMIC,2010,APRIL,31,New Mutants,12,2.99,Marvel,42784
