PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2010,AUGUST,1,Brightest Day,7,2.99,DC,93459
COMIC,2010,AUGUST,2,Brightest Day,8,2.99,DC,91546
COMIC,2010,AUGUST,3,Avengers,4,3.99,Marvel,87333
COMIC,2010,AUGUST,4,New Avengers,3,3.99,Marvel,81354
COMIC,2010,AUGUST,5,Secret Avengers,4,3.99,Marvel,74655
COMIC,2010,AUGUST,6,Amazing Spider-Man,640,3.99,Marvel,73656
COMIC,2010,AUGUST,7,Batman,702,2.99,DC,73414
COMIC,2010,AUGUST,8,X-Men,2,3.99,Marvel,71464
COMIC,2010,AUGUST,9,Uncanny X-Men,527,3.99,Marvel,69052
COMIC,2010,AUGUST,10,Green Lantern Emerald Warriors,1,3.99,DC,68332
COMIC,2010,AUGUST,11,Green Lantern Corps,51,2.99,DC,67124
COMIC,2010,AUGUST,12,Amazing Spider-Man,639,3.99,Marvel,67086
COMIC,2010,AUGUST,13,Justice League of America,48,3.99,DC,60733
COMIC,2010,AUGUST,14,Avengers Prime,2,3.99,Marvel,55518
COMIC,2010,AUGUST,15,Ultimate Comics Avengers 3,1,3.99,Marvel,53870
COMIC,2010,AUGUST,16,X-Men Legacy,239,2.99,Marvel,53236
COMIC,2010,AUGUST,17,Captain America,609,3.99,Marvel,52834
COMIC,2010,AUGUST,18,Captain America,608,3.99,Marvel,51362
COMIC,2010,AUGUST,19,Thor,613,3.99,Marvel,51076
COMIC,2010,AUGUST,20,Astonishing X-Men,35,2.99,Marvel,50441
COMIC,2010,AUGUST,21,Superman,702,2.99,DC,50023
COMIC,2010,AUGUST,22,Invincible Iron Man,29,2.99,Marvel,49012
COMIC,2010,AUGUST,23,Hulk,24,3.99,Marvel,48903
COMIC,2010,AUGUST,24,Justice Society of America,42,2.99,DC,48420
COMIC,2010,AUGUST,25,Batman Odyssey,2,3.99,DC,47675
COMIC,2010,AUGUST,26,Ultimate Comics Avengers 2,6,3.99,Marvel,46358
COMIC,2010,AUGUST,27,Green Arrow,3,2.99,DC,46308
COMIC,2010,AUGUST,28,Birds of Prey,4,2.99,DC,46149
COMIC,2010,AUGUST,29,Incredible Hulk,611,3.99,Marvel,44982
COMIC,2010,AUGUST,30,Shadowland,2,3.99,Marvel,44573
COMIC,2010,AUGUST,31,Daredevil,509,2.99,Marvel,41577
COMIC,2010,AUGUST,32,Dark Wolverine,89,2.99,Marvel,41409
COMIC,2010,AUGUST,33,Superman Secret Origin,6,3.99,DC,41051
COMIC,2010,AUGUST,34,Steve Rogers Super-Soldier,2,3.99,Marvel,40278
COMIC,2010,AUGUST,35,Justice League Generation Lost,7,2.99,DC,39971
COMIC,2010,AUGUST,36,Dark Wolverine,90,2.99,Marvel,39815
COMIC,2010,AUGUST,37,Justice League Generation Lost,8,2.99,DC,38745
COMIC,2010,AUGUST,38,Detective Comics,868,3.99,DC,38682
COMIC,2010,AUGUST,39,X-Force Sex and Violence,2,3.99,Marvel,38480
COMIC,2010,AUGUST,40,"Buffy the Vampire Slayer Riley OneShot",,3.5,Dark Horse,38119
COMIC,2010,AUGUST,41,Wonder Woman,602,2.99,DC,38012
COMIC,2010,AUGUST,42,Namor First Mutant,1,3.99,Marvel,37399
COMIC,2010,AUGUST,43,Ultimate Comics Spider-Man,13,3.99,Marvel,36946
COMIC,2010,AUGUST,44,Action Comics,892,3.99,DC,36401
COMIC,2010,AUGUST,45,Avengers Academy,3,2.99,Marvel,35629
COMIC,2010,AUGUST,46,Deadpool,26,2.99,Marvel,35595
COMIC,2010,AUGUST,47,Red Robin,15,2.99,DC,34709
COMIC,2010,AUGUST,48,Fantastic Four,582,2.99,Marvel,34617
COMIC,2010,AUGUST,49,Deadpool,1000,4.99,Marvel,34482
COMIC,2010,AUGUST,50,Superman Batman,75,4.99,DC,34324
COMIC,2010,AUGUST,51,Legion of Super Heroes,4,3.99,DC,34239
COMIC,2010,AUGUST,52,Shield,3,2.99,Marvel,33335
COMIC,2010,AUGUST,53,Titans,26,2.99,DC,32800
COMIC,2010,AUGUST,54,New Mutants,16,2.99,Marvel,31989
COMIC,2010,AUGUST,55,"X-Men Curse of Mutants Storm& Gambit",1,3.99,Marvel,31751
COMIC,2010,AUGUST,56,Batman Beyond,3,2.99,DC,31469
COMIC,2010,AUGUST,57,Thunderbolts,147,2.99,Marvel,31252
