PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2010,MARCH,1,Blackest Night,8,3.99,DC,135059
COMIC,2010,MARCH,2,Siege,3,3.99,Marvel,113073
COMIC,2010,MARCH,3,Green Lantern,52,2.99,DC,97368
COMIC,2010,MARCH,4,Batman and Robin,10,2.99,DC,85290
COMIC,2010,MARCH,5,Green Lantern Corps,46,3.99,DC,76721
COMIC,2010,MARCH,6,New Avengers,63,3.99,Marvel,76147
COMIC,2010,MARCH,7,Dark Avengers,15,3.99,Marvel,72257
COMIC,2010,MARCH,8,Ultimate New Ultimates,1,3.99,Marvel,71278
COMIC,2010,MARCH,9,Uncanny X-Men,522,3.99,Marvel,67994
COMIC,2010,MARCH,10,Amazing Spider-Man,623,2.99,Marvel,66062
COMIC,2010,MARCH,11,X-Men Second Coming,1,3.99,Marvel,66013
COMIC,2010,MARCH,12,Thor,608,2.99,Marvel,62013
COMIC,2010,MARCH,13,Batman,697,2.99,DC,61157
COMIC,2010,MARCH,14,Amazing Spider-Man,624,2.99,Marvel,60215
COMIC,2010,MARCH,15,Ultimate Avengers,5,3.99,Marvel,58099
COMIC,2010,MARCH,16,Captain America,604,3.99,Marvel,56962
COMIC,2010,MARCH,17,Justice League of America,43,3.99,DC,56460
COMIC,2010,MARCH,18,Amazing Spider-Man,627,2.99,Marvel,54203
COMIC,2010,MARCH,19,Amazing Spider-Man,625,2.99,Marvel,54179
COMIC,2010,MARCH,20,Kevin Smith Green Hornet,1,3.99,Dynamic,54124
COMIC,2010,MARCH,21,Amazing Spider-Man,626,2.99,Marvel,53867
COMIC,2010,MARCH,22,Nemesis,1,2.99,Marvel,53733
COMIC,2010,MARCH,23,Mighty Avengers,35,2.99,Marvel,51084
COMIC,2010,MARCH,24,Hulk,21,3.99,Marvel,50785
COMIC,2010,MARCH,25,Justice League Rise and Fall Special,1,3.99,DC,50363
COMIC,2010,MARCH,26,X-Force,25,2.99,Marvel,49910
COMIC,2010,MARCH,27,Mighty Avengers,34,2.99,Marvel,49855
COMIC,2010,MARCH,28,Justice League Cry for Justice,7,3.99,DC,49770
COMIC,2010,MARCH,29,Dark Wolverine,84,2.99,Marvel,49470
COMIC,2010,MARCH,30,Invincible Iron Man,24,2.99,Marvel,49238
COMIC,2010,MARCH,31,X-Men Legacy,234,2.99,Marvel,48216
COMIC,2010,MARCH,32,Incredible Hulk,608,3.99,Marvel,47146
COMIC,2010,MARCH,33,Buffy The Vampire Slayer,33,2.99,Dark Horse,46571
COMIC,2010,MARCH,34,Detective,862,3.99,DC,44687
COMIC,2010,MARCH,35,Siege Embedded,3,3.99,Marvel,43452
COMIC,2010,MARCH,36,Detective,863,3.99,DC,43122
COMIC,2010,MARCH,37,Deadpool,21,2.99,Marvel,42064
COMIC,2010,MARCH,38,Ultimate Spider-Man,8,3.99,Marvel,40969
COMIC,2010,MARCH,39,Adventure,8,3.99,DC,39348
COMIC,2010,MARCH,40,Avengers Initiative,34,2.99,Marvel,38615
COMIC,2010,MARCH,41,Fall of Hulks Red Hulk,3,3.99,Marvel,38535
